T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,,,,
ERP29,-1.107054247,0.296980188,0.504781528,0.43708241,0.527272523,-1.194022775,,,,,,
RPN2,-1.104349602,0.29809044,0.505870275,0.450355701,0.525651951,-1.150863171,,,,,,
DDAH1,-1.102630539,0.298797802,0.506514695,0.563080534,0.524622602,-0.828586817,,,,,,
SNTB2,-1.101235638,0.299372742,0.506812353,0.436113232,0.523787745,-1.197225332,,,,,,
CAPN2,-1.100614501,0.299629037,0.506812353,0.802817485,0.523416102,-0.316856056,,,,,,
RAB23,-1.099431672,0.300117572,0.507083898,0.443624973,0.522708576,-1.172587514,,,,,,
TMEM192,-1.096624782,0.301279374,0.50849117,0.653808403,0.5210306,-0.613060176,,,,,,
MAP1LC3B,-1.094532709,0.302147588,0.508657674,0.643955691,0.519780868,-0.634966671,,,,,,
CAPN5,-1.094074064,0.302338187,0.508657674,0.499220255,0.519506995,-1.002251625,,,,,,
BGN,-1.094009388,0.302365072,0.508657674,0.722420093,0.519468378,-0.469090074,,,,,,
LTBP1,-1.090844049,0.303683145,0.510319719,0.801873111,0.517579312,-0.318554133,,,,,,
PPP1CB,-1.077504079,0.309287231,0.517811394,0.626510168,0.50963801,-0.67459017,,,,,,
COL8A2,-1.077046043,0.309481066,0.517811394,0.644681669,0.509365916,-0.633341134,,,,,,
HSPB6,-1.074845504,0.310413621,0.518244888,0.522574382,0.50805923,-0.936291695,,,,,,
GOLM2,-1.074402991,0.310601414,0.518244888,0.476056457,0.507796572,-1.070795417,,,,,,
RAP2A,-1.072975699,0.311207724,0.518244888,0.709268216,0.506949632,-0.495596796,,,,,,
ITM2C,-1.066086277,0.314147217,0.521666592,0.735446789,0.502866784,-0.443307132,,,,,,
BTN3A3,-1.061921767,0.315934441,0.522509051,0.595995074,0.500403028,-0.746627688,,,,,,
CIT,-1.06175437,0.316006444,0.522509051,0.66337992,0.500304061,-0.592092752,,,,,,
PODXL,-1.059945232,0.316785419,0.522563792,0.629135231,0.499234816,-0.668557942,,,,,,
RPS3A,-1.059220317,0.317097966,0.522563792,0.751745221,0.498806544,-0.411684304,,,,,,
VIM,-1.055025153,0.31891137,0.524507423,0.808774769,0.496329997,-0.306190103,,,,,,
UTRN,-1.051050724,0.320636695,0.525204736,0.504111397,0.493986776,-0.988185525,,,,,,
PRKAR2A,-1.045692503,0.322974049,0.527820169,0.440083572,0.490832372,-1.184150577,,,,,,
GLOD4,-1.040301723,0.325338735,0.530562959,0.560310979,0.487664226,-0.835700333,,,,,,
ATP11C,-1.032174877,0.328928544,0.534725056,0.733932057,0.482898438,-0.446281582,,,,,,
VAMP5,-1.023155023,0.332947991,0.538992245,0.587511414,0.477623602,-0.767311215,,,,,,
HAPLN1,-1.015395659,0.336435411,0.544068144,0.495870915,0.473098299,-1.011963487,,,,,,
TINAGL1,-1.012426542,0.337777143,0.544946485,0.614896619,0.471369743,-0.70158422,,,,,,
TMX4,-1.011854708,0.338036015,0.544946485,0.539405247,0.471037027,-0.890558541,,,,,,
PSMB1,-0.997044588,0.344792749,0.554105603,0.622677807,0.462441876,-0.683442235,,,,,,
CAPNS1,-0.986065801,0.349866431,0.560511402,0.75840579,0.456097725,-0.398958117,,,,,,
RPL27A,-0.981331975,0.352071179,0.562948482,0.765150741,0.453369526,-0.386184096,,,,,,
DCTN2,-0.980734826,0.352350028,0.562948482,0.449075509,0.453025689,-1.15497005,,,,,,
SEPTIN10,-0.98037629,0.352517532,0.562948482,0.495015879,0.452819279,-1.014453292,,,,,,
ENTPD1,-0.9782603,0.353507302,0.562948482,0.70551166,0.451601611,-0.503258169,,,,,,
MSN,-0.978121221,0.35357243,0.562948482,0.819871583,0.451521607,-0.286530137,,,,,,
TM9SF4,-0.970562266,0.357125497,0.566854229,0.601011493,0.447179142,-0.734535515,,,,,,
CDH1,-0.968087667,0.358294392,0.567314546,0.762895265,0.445759989,-0.390443087,,,,,,
SDHB,-0.967618401,0.358516372,0.567314546,0.555029827,0.445491007,-0.849362791,,,,,,
TUBA4A,-0.966412298,0.359087367,0.567637086,0.574013978,0.444799873,-0.800842226,,,,,,
COX5B,-0.962699938,0.360849086,0.569257845,0.647521457,0.44267439,-0.627000093,,,,,,
LDHB,-0.96067994,0.361810355,0.570192466,0.83847511,0.441519007,-0.254160136,,,,,,
VAPA,-0.959484082,0.362380323,0.570509143,0.574361014,0.440835393,-0.799970269,,,,,,
SLC25A24,-0.957732347,0.363216422,0.571243732,0.4203118,0.439834524,-1.250468135,,,,,,
CTNNA1,-0.955524267,0.36427235,0.572036699,0.551022369,0.438573792,-0.859817207,,,,,,
ENO2,-0.954663601,0.36468454,0.572036699,0.840117456,0.438082648,-0.251337051,,,,,,
SNX9,-0.954222304,0.364896017,0.572036699,0.633066861,0.437830877,-0.659570217,,,,,,
DDAH2,-0.953586925,0.365200661,0.572036699,0.527216052,0.437468445,-0.923533797,,,,,,
NID1,-0.951810033,0.366053613,0.572385148,0.658101916,0.436455302,-0.603617072,,,,,,
PSMB7,-0.950236757,0.366810041,0.572816488,0.816531753,0.435558785,-0.292419106,,,,,,
AKR1C1,-0.939561554,0.371972849,0.579506204,0.844123865,0.429488759,-0.244473383,,,,,,
SRPRB,-0.939056502,0.372218409,0.579506204,0.528742353,0.429202151,-0.919363201,,,,,,
STIM1,-0.927590468,0.377825022,0.585875109,0.627278103,0.422709284,-0.672822893,,,,,,
CD276,-0.92167793,0.380739868,0.589803442,0.406208303,0.419371645,-1.299708366,,,,,,
H2AC20,-0.917154012,0.382981052,0.59124267,0.622260597,0.416822712,-0.684409201,,,,,,
RPL27,-0.914605249,0.3842479,0.59124267,0.540803616,0.415388498,-0.886823297,,,,,,
ELMOD2,-0.914475217,0.384312612,0.59124267,0.704893788,0.415315363,-0.504522204,,,,,,
PFKM,-0.914147333,0.384475822,0.59124267,0.616981828,0.415130965,-0.696700096,,,,,,
SKP1,-0.909862964,0.386613024,0.59267911,0.613574249,0.41272352,-0.704690158,,,,,,
WDR1,-0.909386496,0.386851228,0.59267911,0.878393955,0.41245602,-0.187059969,,,,,,
COMT,-0.90882283,0.387133162,0.59267911,0.509762678,0.412139625,-0.972102344,,,,,,
STX7,-0.908696094,0.387196573,0.59267911,0.604628166,0.412068496,-0.725879908,,,,,,
PSMC4,-0.903526137,0.389789638,0.594881323,0.756289203,0.40916971,-0.402990073,,,,,,
STT3A,-0.900155866,0.391486705,0.596882097,0.565102502,0.407282982,-0.823415518,,,,,,
ATP5PO,-0.897091663,0.393034216,0.598651131,0.595302992,0.40556964,-0.74830395,,,,,,
SLC25A6,-0.895125581,0.394029433,0.59932893,0.44213026,0.404471336,-1.177456617,,,,,,
SRC,-0.894266503,0.394464854,0.59932893,0.693298163,0.403991686,-0.528452158,,,,,,
SIGLEC1,-0.890963163,0.396142321,0.600398507,0.604812497,0.402148759,-0.725440145,,,,,,
TAGLN2,-0.887576787,0.397867195,0.600961878,0.897952453,0.400261868,-0.155289039,,,,,,
DYSF,-0.887218929,0.398049782,0.600961878,0.692321879,0.40006261,-0.530485153,,,,,,
TMED5,-0.88450912,0.399434311,0.601876652,0.562184229,0.398554632,-0.830885112,,,,,,
ERGIC3,-0.881969771,0.40073483,0.603248342,0.720238575,0.397142909,-0.473453224,,,,,,
HSPE1,-0.870603141,0.406592755,0.610761782,0.676067721,0.390840364,-0.564760327,,,,,,
ITGB3,-0.869988637,0.406911149,0.610761782,0.812372285,0.390500411,-0.299787074,,,,,,
VDAC3,-0.867846578,0.40802238,0.611835692,0.471293915,0.389316016,-1.085301042,,,,,,
PRDX1,-0.865358135,0.409315966,0.613180701,0.900288858,0.387941315,-0.15154013,,,,,,
PITPNB,-0.862005427,0.411063353,0.614762441,0.698237568,0.38609124,-0.518210113,,,,,,
YWHAG,-0.861806646,0.411167117,0.614762441,0.788158086,0.385981625,-0.343443066,,,,,,
CHST14,-0.856486937,0.413950818,0.617118598,0.771377672,0.383051254,-0.374490708,,,,,,
MOGS,-0.854985558,0.414738825,0.617118598,0.580424026,0.382225307,-0.784820855,,,,,,
FDPS,-0.853080924,0.415739979,0.617472736,0.769898365,0.381178211,-0.377260089,,,,,,
ITGA2B,-0.853013165,0.415775626,0.617472736,0.839719799,0.381140974,-0.252020091,,,,,,
TMEM63A,-0.851332951,0.416660257,0.618192666,0.62848222,0.380217922,-0.670056164,,,,,,
AKR1B1,-0.850158553,0.41727935,0.618517617,0.800698332,0.379573107,-0.320669293,,,,,,
RPS21,-0.847042805,0.418924922,0.620362001,0.693948216,0.377863803,-0.527100086,,,,,,
FARP1,-0.841543119,0.421840482,0.623485072,0.610622556,0.374851745,-0.711647213,,,,,,
EMC1,-0.838855501,0.423270344,0.623809296,0.521852434,0.373382159,-0.938286185,,,,,,
YWHAZ,-0.835385142,0.425121558,0.625426743,0.85318466,0.371486872,-0.229070067,,,,,,
SNCG,-0.834054352,0.425832919,0.625796286,0.754733804,0.370760769,-0.405960202,,,,,,
M6PR,-0.83196901,0.426949258,0.626840981,0.566452079,0.369623737,-0.819974184,,,,,,
SULF1,-0.830288003,0.427850602,0.626973488,0.828901172,0.368707853,-0.270727992,,,,,,
CORO1C,-0.824925512,0.430734611,0.630005401,0.64857705,0.365790229,-0.624650121,,,,,,
LAMB1,-0.819483053,0.433675135,0.633706766,0.837636324,0.362835478,-0.255604088,,,,,,
COX7A2,-0.814158177,0.436565283,0.636726347,0.571463299,0.359950803,-0.807267249,,,,,,
CLPTM1,-0.810570539,0.438519851,0.637261391,0.740314357,0.358010742,-0.433790088,,,,,,
PLEC,-0.807034812,0.440451905,0.639379009,0.665932473,0.356101508,-0.586552203,,,,,,
PON2,-0.806026416,0.441003978,0.639579879,0.642857872,0.355557493,-0.637428284,,,,,,
DTNA,-0.802881776,0.442728584,0.640905048,0.613734176,0.353862437,-0.704314172,,,,,,
MIF,-0.802848561,0.442746825,0.640905048,0.825735687,0.353844545,-0.276248038,,,,,,
HM13,-0.797418247,0.44573568,0.642824031,0.544260991,0.3509226,-0.877629459,,,,,,
ATP6V0D1,-0.795936834,0.446553391,0.643403114,0.668968815,0.350126609,-0.579989135,,,,,,
ARF5,-0.793672256,0.447805328,0.64460618,0.646398518,0.348910743,-0.629504204,,,,,,
SPNS1,-0.784585574,0.452852267,0.648231838,0.756081633,0.344043453,-0.403386086,,,,,,
COL18A1,-0.782946211,0.453766807,0.648231838,0.788952133,0.343167276,-0.341990322,,,,,,
SDHA,-0.781998159,0.454296248,0.648231838,0.665696702,0.34266085,-0.587063074,,,,,,
CHID1,-0.781414454,0.454622422,0.648231838,0.781620344,0.342349149,-0.355460078,,,,,,
CSNK2B,-0.779681284,0.455591828,0.648231838,0.687884768,0.341424074,-0.539761186,,,,,,
PSMD11,-0.776952399,0.457120929,0.64895221,0.625203994,0.339968894,-0.677601099,,,,,,
PRKACA,-0.7759605,0.457677566,0.649103733,0.564766964,0.339440375,-0.824272394,,,,,,
SELENBP1,-0.775266341,0.458067382,0.649103733,0.825229045,0.339070632,-0.277133495,,,,,,
STXBP1,-0.769616699,0.461248152,0.651292436,0.681069943,0.336065361,-0.55412513,,,,,,
REEP5,-0.769530071,0.461297036,0.651292436,0.748728643,0.336019336,-0.417485148,,,,,,
FLOT1,-0.766954722,0.462751865,0.652155317,0.721010858,0.334651822,-0.471907109,,,,,,
PPIB,-0.760761198,0.466262899,0.656504956,0.781608928,0.331369141,-0.355481148,,,,,,
CERS2,-0.758955253,0.467289929,0.657352347,0.682239359,0.330413579,-0.551650107,,,,,,
SCAMP1,-0.75580641,0.469084175,0.659276486,0.727454956,0.328749218,-0.459070176,,,,,,
P2RX4,-0.754214966,0.469992698,0.659354547,0.790955688,0.32790889,-0.338331223,,,,,,
PI4KA,-0.752338231,0.471065552,0.659784065,0.617665147,0.326918654,-0.695103168,,,,,,
HTRA1,-0.752186433,0.471152398,0.659784065,0.837574813,0.326838594,-0.255710036,,,,,,
IPO5,-0.749507749,0.472686622,0.660698384,0.624000848,0.325426689,-0.680380106,,,,,,
CAPN1,-0.748791035,0.47309767,0.660698384,0.708965768,0.325049191,-0.496212125,,,,,,
SRPX,-0.745864904,0.474778247,0.661863995,0.62014817,0.323509187,-0.68931514,,,,,,
TMX1,-0.743713419,0.476016371,0.662689529,0.599947102,0.322378111,-0.737092793,,,,,,
DCD,-0.743346504,0.476227728,0.662689529,0.859839283,0.322185322,-0.217861071,,,,,,
FLOT2,-0.740182837,0.478052625,0.664033565,0.644840778,0.320524293,-0.632985115,,,,,,
FAS,-0.735646501,0.480677136,0.664146905,0.681732612,0.318146535,-0.552722096,,,,,,
UBC,-0.732994973,0.482215445,0.665265226,0.924067368,0.316758884,-0.113930061,,,,,,
GNG11,-0.728347357,0.484919372,0.66816876,0.790636732,0.314330466,-0.338913113,,,,,,
RHBDF1,-0.726651898,0.485908165,0.668935017,0.647917003,0.313445803,-0.626119077,,,,,,
CCT3,-0.725010656,0.486866559,0.669062844,0.650711815,0.312590055,-0.619909346,,,,,,
PSMD13,-0.724195951,0.487342746,0.669122455,0.654618317,0.312165494,-0.611274123,,,,,,
TECR,-0.720118772,0.489730247,0.671378878,0.807141756,0.310043072,-0.309106022,,,,,,
SLC25A12,-0.719906576,0.489854706,0.671378878,0.755463496,0.309932716,-0.40456605,,,,,,
ERP44,-0.715949448,0.492179333,0.672895652,0.598937894,0.307876627,-0.739521682,,,,,,
YWHAH,-0.715670077,0.492343713,0.672895652,0.87560973,0.307731604,-0.191640109,,,,,,
THBS2,-0.714699101,0.492915295,0.672895652,0.74679276,0.307227705,-0.421220154,,,,,,
PSMA2,-0.710432698,0.495431734,0.674245438,0.743873284,0.305016179,-0.42687121,,,,,,
ARHGDIA,-0.707564595,0.497127937,0.675360097,0.59472092,0.303531831,-0.749715269,,,,,,
PCOLCE2,-0.691341054,0.506790698,0.68487624,0.835145786,0.295171365,-0.259900033,,,,,,
RDX,-0.689987847,0.507601881,0.685306455,0.694515977,0.294476777,-0.525920212,,,,,,
HLA-F,-0.688209334,0.508669232,0.685616942,0.756414978,0.293564531,-0.402750164,,,,,,
DPYSL2,-0.684970994,0.510616221,0.686445806,0.859601926,0.291905393,-0.218259379,,,,,,
RPL31,-0.68291978,0.511851835,0.687509068,0.725315108,0.290855735,-0.463320196,,,,,,
RP2,-0.681999618,0.51240672,0.687656935,0.858508623,0.290385184,-0.220095471,,,,,,
ASPN,-0.681210592,0.512882818,0.687698904,0.854926863,0.28998185,-0.226127088,,,,,,
NDUFA4,-0.67543848,0.516373929,0.691131703,0.622234272,0.287035693,-0.684470236,,,,,,
GNG5,-0.672680234,0.518047277,0.691624431,0.774060863,0.285630604,-0.369481087,,,,,,
SIDT2,-0.671247612,0.518917706,0.692180064,0.825319485,0.28490151,-0.276975393,,,,,,
NAPA,-0.669786047,0.519806633,0.692180064,0.742194825,0.284158183,-0.430130154,,,,,,
PTGS1,-0.665525568,0.522403119,0.695038918,0.653904951,0.281994238,-0.612847149,,,,,,
SEPTIN7,-0.65991068,0.525836954,0.698405438,0.74693811,0.279148897,-0.420939386,,,,,,
PCMT1,-0.657409496,0.527370927,0.699241384,0.743636739,0.277883815,-0.427330047,,,,,,
GLO1,-0.654074281,0.529420575,0.700757029,0.817571582,0.276199184,-0.290583044,,,,,,
GLT8D2,-0.6529035,0.530141202,0.701110606,0.822222045,0.275608442,-0.282400042,,,,,,
MTARC2,-0.649128186,0.532468924,0.702986299,0.767057723,0.273705734,-0.382592946,,,,,,
ANXA11,-0.6439999,0.535640546,0.705366511,0.879405223,0.271126556,-0.185399994,,,,,,
PSME1,-0.641100065,0.537438904,0.707007873,0.877468994,0.269670899,-0.188579947,,,,,,
GRHPR,-0.638335688,0.539156567,0.707007873,0.723813512,0.2682851,-0.466310054,,,,,,
ERMP1,-0.63830841,0.539173533,0.707007873,0.802937696,0.268271435,-0.316640049,,,,,,
IGFBP3,-0.631480465,0.543430004,0.711382546,0.859607609,0.264856387,-0.218249843,,,,,,
CYC1,-0.626091547,0.546803225,0.715192713,0.681929518,0.262168932,-0.55230546,,,,,,
SLC7A8,-0.620229326,0.550486497,0.718187446,0.856829457,0.25925333,-0.222920015,,,,,,
BAG3,-0.618716643,0.551439249,0.718823843,0.62015455,0.258502326,-0.689300299,,,,,,
TUBB4B,-0.612683778,0.555248449,0.722648932,0.850710337,0.255512646,-0.23326011,,,,,,
BST2,-0.610880613,0.556389907,0.723381675,0.862500942,0.254620757,-0.213402063,,,,,,
OPA1,-0.610221674,0.55680737,0.723381675,0.736543632,0.254295025,-0.441157103,,,,,,
GYPC,-0.603573238,0.561029413,0.728254805,0.882129252,0.251014369,-0.180938035,,,,,,
OXSR1,-0.602575832,0.561664376,0.728467387,0.704445385,0.25052312,-0.505440235,,,,,,
H2AZ2,-0.600309392,0.563108739,0.729117345,0.80151364,0.249407733,-0.319201022,,,,,,
RAD23A,-0.596247619,0.565702489,0.731722841,0.835258638,0.24741191,-0.259705096,,,,,,
ARL8A,-0.595083933,0.566446831,0.731722841,0.738980316,0.246840849,-0.436392158,,,,,,
CNN1,-0.594936919,0.566540906,0.731722841,0.599654888,0.246768727,-0.737795651,,,,,,
NRP1,-0.586778979,0.571774995,0.737251161,0.708555933,0.242774841,-0.497046351,,,,,,
PPT1,-0.585106699,0.572851248,0.73740885,0.767046473,0.241958137,-0.382614106,,,,,,
CHCHD3,-0.58376883,0.573713091,0.737903859,0.747025757,0.241305241,-0.420770109,,,,,,
AP2M1,-0.580951256,0.575530502,0.739626065,0.77326936,0.239931654,-0.370957047,,,,,,
ERLIN1,-0.58001065,0.576137929,0.739791727,0.8134006,0.239473532,-0.29796204,,,,,,
ABHD14B,-0.573654846,0.580251685,0.741678445,0.7128858,0.23638359,-0.48825711,,,,,,
SERPINB1,-0.573462609,0.580376361,0.741678445,0.758741946,0.236290285,-0.398318797,,,,,,
SCCPDH,-0.572433884,0.581043793,0.741678445,0.647585612,0.235791134,-0.626857162,,,,,,
PICALM,-0.570547682,0.582268647,0.741678445,0.785430149,0.234876595,-0.348445117,,,,,,
PDLIM5,-0.57038594,0.582373744,0.741678445,0.802003535,0.234798213,-0.318319499,,,,,,
LAMA4,-0.570246704,0.582464226,0.741678445,0.720751522,0.234730743,-0.472426116,,,,,,
SACM1L,-0.570017176,0.582613399,0.741678445,0.800226278,0.234619531,-0.32152009,,,,,,
APPL2,-0.569857672,0.582717076,0.741678445,0.688060965,0.234542255,-0.539391696,,,,,,
CAVIN2,-0.565675507,0.585439058,0.744316434,0.745782033,0.232518307,-0.423174053,,,,,,
ARRDC1,-0.562473554,0.587527742,0.744858988,0.71893333,0.230971622,-0.476070106,,,,,,
UBE2N,-0.560061536,0.589103808,0.744858988,0.662983672,0.22980817,-0.592954755,,,,,,
STT3B,-0.554235355,0.592920191,0.747679131,0.661213292,0.22700376,-0.596812367,,,,,,
RPS24,-0.548483988,0.596700576,0.749774077,0.768611702,0.224243543,-0.379673153,,,,,,
SLC1A5,-0.548019576,0.597006397,0.749774077,0.682579712,0.224021016,-0.55093056,,,,,,
RAB27A,-0.545858941,0.598430299,0.750379767,0.745543649,0.222986426,-0.423635274,,,,,,
CAB39,-0.545814792,0.598459413,0.750379767,0.751990745,0.222965298,-0.411213189,,,,,,
EMILIN1,-0.544821344,0.599114739,0.750592696,0.841462518,0.222489996,-0.249029085,,,,,,
TUBA1B,-0.542776622,0.600464736,0.751269656,0.889828956,0.221512492,-0.168400049,,,,,,
H3-7,-0.542531066,0.60062697,0.751269656,0.756327433,0.221395171,-0.402917147,,,,,,
APEH,-0.539340646,0.60273692,0.753069873,0.794660122,0.219872206,-0.331590146,,,,,,
HYOU1,-0.538525095,0.603276904,0.753069873,0.674384372,0.219483301,-0.568356991,,,,,,
FKBP1A,-0.53796872,0.603645431,0.753069873,0.84124325,0.219218082,-0.249405071,,,,,,
AP2A1,-0.537302519,0.604086862,0.753069873,0.634552428,0.21890061,-0.656188726,,,,,,
MGP,-0.535942026,0.604988863,0.753069873,0.878454808,0.21825262,-0.186960027,,,,,,
H2BC18,-0.534273081,0.606096334,0.753841458,0.813221335,0.217458343,-0.29828003,,,,,,
HSPA4,-0.533290455,0.606748878,0.754046436,0.763791068,0.216991018,-0.388750046,,,,,,
GSTM5,-0.52797,0.610288484,0.756620687,0.670279795,0.214464825,-0.57716465,,,,,,
TPI1,-0.52486268,0.612360699,0.757974091,0.901044294,0.21299269,-0.150330067,,,,,,
NCF1B,-0.52165837,0.614501413,0.759998636,0.813807731,0.211477114,-0.297240108,,,,,,
ARL8B,-0.517285076,0.617429325,0.76180825,0.726086759,0.209412747,-0.461786151,,,,,,
TLN1,-0.512351409,0.620740994,0.765283554,0.795455364,0.207089573,-0.330147117,,,,,,
CPT1A,-0.509824504,0.622440659,0.76637926,0.794393069,0.205902046,-0.332075059,,,,,,
FAM180A,-0.509556322,0.622621184,0.76637926,0.796661008,0.205776107,-0.32796213,,,,,,
GAA,-0.501018478,0.628382272,0.771942878,0.771250763,0.201776076,-0.374728084,,,,,,
DNAJB11,-0.500638752,0.628639122,0.771942878,0.754223517,0.201598595,-0.40693596,,,,,,
LAMTOR1,-0.498837394,0.629858298,0.772504349,0.73754577,0.200757145,-0.439195514,,,,,,
CTTN,-0.498486801,0.63009572,0.772504349,0.912786895,0.20059347,-0.131650016,,,,,,
COL4A2,-0.497353112,0.630863764,0.772642085,0.870711644,0.200064417,-0.199733078,,,,,,
ERO1A,-0.495043522,0.632429897,0.772642085,0.791112804,0.198987608,-0.338044673,,,,,,
CRLF1,-0.495004786,0.63245618,0.772642085,0.748057871,0.198969559,-0.418778211,,,,,,
LAMTOR3,-0.493656078,0.633371655,0.772843393,0.745253875,0.198341376,-0.424196124,,,,,,
ITGA5,-0.489926166,0.635906873,0.775324941,0.895819551,0.196606481,-0.158719942,,,,,,
GM2A,-0.487749592,0.637388608,0.775438949,0.867904338,0.195595703,-0.204392061,,,,,,
RALB,-0.487397192,0.63762867,0.775438949,0.801353068,0.195432164,-0.319490075,,,,,,
IFITM3,-0.48537096,0.639009846,0.775438949,0.912970324,0.19449245,-0.131360129,,,,,,
VSIR,-0.475828794,0.64553395,0.781515652,0.82152358,0.190080912,-0.283626109,,,,,,
CFD,-0.468074177,0.65085961,0.786153449,0.790718921,0.186512678,-0.338763148,,,,,,
CTSZ,-0.461208212,0.655592512,0.789366062,0.809643458,0.183366015,-0.304641366,,,,,,
RAB5C,-0.459337276,0.656885033,0.790306818,0.911018955,0.182510633,-0.134447023,,,,,,
NCSTN,-0.453468338,0.660947355,0.793634945,0.914894934,0.179833131,-0.12832202,,,,,,
FKBP7,-0.451000429,0.662659094,0.793634945,0.82750498,0.178709838,-0.2731601,,,,,,
RPS13,-0.450896275,0.66273138,0.793634945,0.704557561,0.178662465,-0.505210519,,,,,,
IDH1,-0.44913661,0.66395321,0.794427555,0.826476828,0.177862525,-0.274953723,,,,,,
TUBB6,-0.44846334,0.664420976,0.794427555,0.78741051,0.177556665,-0.344812125,,,,,,
ARHGAP1,-0.441944495,0.668957963,0.798632382,0.848454818,0.174601172,-0.23709026,,,,,,
KPNB1,-0.441330125,0.669386289,0.798632382,0.740538142,0.174323188,-0.43335405,,,,,,
PPA1,-0.440522716,0.66994939,0.798632382,0.786132272,0.173958004,-0.347156018,,,,,,
RRAGC,-0.439207694,0.670866975,0.798804109,0.815569612,0.173363587,-0.294120073,,,,,,
ALOX5AP,-0.43801722,0.671698151,0.798804109,0.720678332,0.172825847,-0.472572625,,,,,,
GBA1,-0.434621494,0.6740716,0.799781039,0.814520483,0.17129397,-0.295977116,,,,,,
LAMP2,-0.430044588,0.677276668,0.802967583,0.890122006,0.169233885,-0.167925,,,,,,
CSNK2A1,-0.423750228,0.681695635,0.806968953,0.75556903,0.166409487,-0.404364526,,,,,,
RNH1,-0.421270484,0.683440083,0.807653532,0.829907773,0.165299554,-0.268977076,,,,,,
LDHA,-0.41995884,0.684363601,0.807653532,0.936161876,0.164713097,-0.095170081,,,,,,
SNX6,-0.418144178,0.685642204,0.808351633,0.788749938,0.163902458,-0.342360109,,,,,,
RPL7A,-0.417635412,0.686000868,0.808351633,0.778304179,0.163675335,-0.361593992,,,,,,
ACTB,-0.408767354,0.69226585,0.813349962,0.758622648,0.159727092,-0.398545653,,,,,,
FUCA1,-0.408012345,0.692800392,0.813349962,0.837267134,0.159391876,-0.2562401,,,,,,
RER1,-0.407909587,0.692873157,0.813349962,0.826275547,0.159346264,-0.275305122,,,,,,
CPNE2,-0.403940734,0.695686152,0.81563689,0.785500406,0.157586641,-0.348316073,,,,,,
PRPS1,-0.403672435,0.695876493,0.81563689,0.862968569,0.157467834,-0.21262008,,,,,,
PLXNA1,-0.401916955,0.69712244,0.816478252,0.838292605,0.156690937,-0.254474193,,,,,,
ENO3,-0.400485997,0.69813877,0.817049613,0.879905172,0.156058243,-0.184580043,,,,,,
TFG,-0.397276911,0.700420315,0.81771428,0.833126735,0.154641266,-0.263392121,,,,,,
RAB11B,-0.394378184,0.702483939,0.818417611,0.904122379,0.153363601,-0.145410031,,,,,,
TM9SF2,-0.392788346,0.703616851,0.81912022,0.83114886,0.152663768,-0.266821206,,,,,,
RAB31,-0.387979313,0.707048445,0.821877366,0.810587003,0.150550828,-0.302961051,,,,,,
PEF1,-0.387150007,0.707640925,0.821948061,0.88904384,0.150187059,-0.169673532,,,,,,
MMP2,-0.379465593,0.713140734,0.827093454,0.892299532,0.146824756,-0.164400011,,,,,,
ACTR3,-0.378711585,0.713681336,0.827099959,0.906860784,0.146495661,-0.141047001,,,,,,
PRKCA,-0.371900116,0.71857258,0.831517498,0.880252904,0.143529359,-0.184010014,,,,,,
EVA1B,-0.369223419,0.720498416,0.831882413,0.934264319,0.14236697,-0.098097324,,,,,,
YWHAB,-0.362130274,0.725611854,0.836506444,0.920763135,0.139295631,-0.119098023,,,,,,
HK1,-0.361841797,0.725820123,0.836506444,0.831998612,0.139170996,-0.265346974,,,,,,
PSMB4,-0.358772138,0.728037768,0.837613262,0.845772182,0.137846091,-0.241658986,,,,,,
KRT2,-0.358587964,0.728170908,0.837613262,0.82578495,0.137766676,-0.276161969,,,,,,
CAPZA2,-0.356832301,0.729440566,0.838449899,0.901566472,0.137010088,-0.149494231,,,,,,
VPS4B,-0.353483504,0.731864757,0.839581477,0.786131753,0.135569166,-0.347156972,,,,,,
RAP2C,-0.353221956,0.732054225,0.839581477,0.869115572,0.135456749,-0.202380061,,,,,,
ACTR2,-0.349244552,0.734937841,0.841248206,0.872157719,0.133749391,-0.197339043,,,,,,
HSP90AA1,-0.348496726,0.735480508,0.841248206,0.927886973,0.133428833,-0.107979015,,,,,,
PLPP1,-0.346845107,0.736679566,0.841248206,0.876798499,0.132721376,-0.189682767,,,,,,
KRT10,-0.346532445,0.736906641,0.841248206,0.780364433,0.13258753,-0.357780069,,,,,,
IQGAP1,-0.345219259,0.737860652,0.841248206,0.89442967,0.132025649,-0.160960048,,,,,,
UQCRC2,-0.340820471,0.741059757,0.843651241,0.810374073,0.13014677,-0.303340077,,,,,,
H3-3A,-0.338167639,0.74299163,0.844227876,0.850303539,0.129016079,-0.233950153,,,,,,
IST1,-0.333938465,0.746075372,0.846866759,0.901703573,0.127217296,-0.149274856,,,,,,
PPIA,-0.329840498,0.749068006,0.849016963,0.928561884,0.125478752,-0.106930032,,,,,,
NNT,-0.329009224,0.749675608,0.849083142,0.903527214,0.12512662,-0.14636004,,,,,,
CAPZB,-0.321888018,0.754888126,0.853032271,0.879954159,0.122117406,-0.184499726,,,,,,
CCDC47,-0.318247751,0.757557789,0.854255537,0.868250591,0.120584232,-0.203816608,,,,,,
SEC63,-0.313785275,0.760835071,0.856322901,0.815042303,0.118709477,-0.295053154,,,,,,
