T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,,,,
KIRREL1,-2.581700943,0.029613877,0.142918471,0.42588346,1.528504728,-1.231469393,,,,,,
THEM6,-2.576976353,0.029844282,0.142918471,0.451461455,1.525138858,-1.147325277,,,,,,
SEC61B,-2.576667198,0.029859422,0.142918471,0.219615197,1.524918607,-2.186950207,,,,,,
ATP5MK,-2.574254957,0.029977814,0.142980824,0.352877763,1.523200042,-1.502759576,,,,,,
ANO6,-2.571437688,0.030116681,0.142980824,0.446338122,1.521192885,-1.16379106,,,,,,
ENPP1,-2.54869191,0.031261766,0.147800277,0.406784785,1.50498649,-1.297662377,,,,,,
SUN1,-2.54387353,0.031509886,0.148222965,0.281212094,1.501553164,-1.830269456,,,,,,
ANXA4,-2.540933603,0.031662245,0.14833282,0.66801382,1.499458297,-0.582050145,,,,,,
TMX3,-2.520846407,0.032723173,0.152379596,0.166155055,1.485144588,-2.589397907,,,,,,
MYL12B,-2.517849002,0.032884507,0.152461132,0.564846163,1.483008662,-0.824070096,,,,,,
ATP1B1,-2.516859966,0.032937916,0.152461132,0.656571416,1.482303882,-0.606976151,,,,,,
H1-0,-2.514228917,0.033080418,0.152517683,0.309127225,1.480429014,-1.693727374,,,,,,
MRGPRF,-2.511149988,0.033247961,0.152517683,0.362751765,1.478234989,-1.462945461,,,,,,
ENPP4,-2.509942976,0.033313873,0.152517683,0.196480553,1.47737488,-2.347541571,,,,,,
LSS,-2.509378432,0.033344746,0.152517683,0.299707819,1.47697259,-1.738371372,,,,,,
LPAR1,-2.500527747,0.033832519,0.153643505,0.354148834,1.470665671,-1.497572303,,,,,,
GNB4,-2.500158528,0.033853021,0.153643505,0.417038718,1.47040257,-1.261746764,,,,,,
CD46,-2.473494345,0.03536693,0.157735183,0.525931512,1.451402634,-0.927053154,,,,,,
GNAI2,-2.471068971,0.035507943,0.157735183,0.618750543,1.44967449,-0.69257021,,,,,,
NCLN,-2.471005114,0.035511663,0.157735183,0.429146237,1.449628991,-1.220458746,,,,,,
NUCB2,-2.468610848,0.035651431,0.157735183,0.535668285,1.447923032,-0.900588214,,,,,,
PYGM,-2.464707446,0.035880474,0.157735183,0.237871898,1.445141834,-2.07174325,,,,,,
MYOF,-2.464141013,0.035913832,0.157735183,0.505029568,1.444738251,-0.985560238,,,,,,
KIAA2013,-2.43840837,0.037462313,0.163145735,0.190893053,1.426405412,-2.389163494,,,,,,
CD58,-2.433999937,0.037734182,0.163235231,0.410837426,1.423265064,-1.283360481,,,,,,
CDH11,-2.432943548,0.03779962,0.163235231,0.526250413,1.422512564,-0.926178634,,,,,,
PGRMC2,-2.429948267,0.037985778,0.163346847,0.198362783,1.42037897,-2.333786726,,,,,,
SYNGR2,-2.429130167,0.038036782,0.163346847,0.585105979,1.419796233,-0.773230135,,,,,,
CYB5A,-2.405279429,0.039554008,0.167535606,0.382731756,1.402809505,-1.385594487,,,,,,
TGFB1,-2.401234305,0.039817225,0.167882246,0.590161177,1.399929013,-0.760819077,,,,,,
TLR3,-2.38698731,0.040758186,0.170352342,0.662657854,1.389785155,-0.593663931,,,,,,
ERGIC1,-2.38243103,0.041063736,0.170792533,0.510886199,1.386541536,-0.968926132,,,,,,
SNX12,-2.381947987,0.041096263,0.170792533,0.446508544,1.386197671,-1.163240314,,,,,,
IGF2R,-2.372378688,0.041745906,0.172515525,0.299289068,1.379386105,-1.740388513,,,,,,
ERLIN2,-2.370923023,0.041845616,0.172515525,0.10702665,1.378350038,-3.223958015,,,,,,
PROCR,-2.357381495,0.042784538,0.174524789,0.380647327,1.368713158,-1.393473148,,,,,,
PRKCSH,-2.34593274,0.043594576,0.1764325,0.298233572,1.360567538,-1.745485425,,,,,,
HSD17B12,-2.3437692,0.043749347,0.176596582,0.226638777,1.359028423,-2.141533375,,,,,,
SH3BGRL,-2.339102279,0.044085049,0.177228539,0.433568697,1.35570867,-1.205667496,,,,,,
PLSCR3,-2.33693547,0.044241776,0.177228539,0.396930272,1.354167452,-1.333042502,,,,,,
CYB5B,-2.336824508,0.044249816,0.177228539,0.512239289,1.354088528,-0.965110183,,,,,,
HSPA1B,-2.329130589,0.044810876,0.178091552,0.694694159,1.348616568,-0.525550127,,,,,,
NINJ1,-2.326557996,0.045000036,0.178130212,0.464471614,1.346787137,-1.106337667,,,,,,
MDH1,-2.32442258,0.045157649,0.178130212,0.594835161,1.345268675,-0.749438167,,,,,,
CST3,-2.324306082,0.045166263,0.178130212,0.376291796,1.345185838,-1.410076261,,,,,,
WLS,-2.308474939,0.046352054,0.181418418,0.324380689,1.333931018,-1.62424016,,,,,,
GOLGA7,-2.302581428,0.046801277,0.182714077,0.350782754,1.329742295,-1.511350274,,,,,,
MAOA,-2.29524022,0.047366843,0.183992813,0.385502629,1.324525557,-1.375187397,,,,,,
SEL1L,-2.287666543,0.047957361,0.184529241,0.424497558,1.319144726,-1.236171842,,,,,,
SDK1,-2.287633807,0.047959929,0.184529241,0.353278536,1.319121471,-1.501121998,,,,,,
LAMP1,-2.2872818,0.047987551,0.184529241,0.799128772,1.318871411,-0.323500097,,,,,,
MRC2,-2.2858288,0.048101736,0.184529241,0.294828655,1.317839248,-1.762051344,,,,,,
PDLIM7,-2.276157906,0.048868557,0.185628476,0.28523065,1.31097048,-1.809799075,,,,,,
CUTA,-2.260536904,0.050132585,0.189498721,0.272308047,1.2998799,-1.87668848,,,,,,
ATP2A2,-2.255212303,0.050570727,0.189816277,0.169144752,1.296100805,-2.563669682,,,,,,
LMCD1,-2.250734033,0.05094213,0.190693783,0.317114238,1.292922903,-1.65692544,,,,,,
ADIRF,-2.227340087,0.052926122,0.197165747,0.375241301,1.276329925,-1.414109468,,,,,,
TMEM87A,-2.225859253,0.053054221,0.197167848,0.257005556,1.275280062,-1.960128546,,,,,,
DHRS7,-2.221720002,0.053413892,0.198028482,0.175537479,1.272345777,-2.510149002,,,,,,
CD109,-2.218135472,0.053727285,0.198713835,0.702013064,1.269805103,-0.510430217,,,,,,
RAB1A,-2.211301478,0.054329759,0.200098169,0.688553128,1.264962218,-0.538360119,,,,,,
SPARCL1,-2.20842954,0.054584908,0.200447191,0.346518034,1.262927418,-1.52899766,,,,,,
PIGS,-2.203458682,0.055029294,0.200667191,0.429377855,1.259406062,-1.219680309,,,,,,
RRAS2,-2.196608181,0.055647501,0.201243487,0.229913681,1.254554334,-2.120835781,,,,,,
TMED10,-2.18998303,0.056251807,0.201622997,0.512776625,1.249863524,-0.963597596,,,,,,
GSTM2,-2.188278421,0.056408322,0.201622997,0.470977066,1.248656821,-1.086271286,,,,,,
SPCS1,-2.183140285,0.056882668,0.202628121,0.384853547,1.245020042,-1.377618551,,,,,,
SNTB1,-2.181626137,0.057023191,0.202661732,0.369415113,1.243948482,-1.436685205,,,,,,
GNG7,-2.175782192,0.057568723,0.202935246,0.378365035,1.239813401,-1.40214932,,,,,,
ALDH1B1,-2.172971364,0.057832919,0.202935246,0.228337137,1.237824889,-2.130762577,,,,,,
PDGFRB,-2.171377072,0.057983293,0.202935246,0.415105782,1.236697124,-1.268449068,,,,,,
PALLD,-2.169410315,0.058169322,0.202935246,0.392493229,1.235305999,-1.34926033,,,,,,
CAVIN3,-2.168888723,0.058218755,0.202935246,0.346911067,1.234937088,-1.527362227,,,,,,
ART4,-2.168844716,0.058222927,0.202935246,0.454125971,1.234905963,-1.138835549,,,,,,
HSP90B1,-2.168226942,0.058281533,0.202935246,0.545620482,1.234469037,-0.874030292,,,,,,
PARVA,-2.160678051,0.059002305,0.204983287,0.454119442,1.229131025,-1.138856292,,,,,,
POGLUT3,-2.156396107,0.059414987,0.205493444,0.433755711,1.226103996,-1.205045342,,,,,,
RTN3,-2.150162469,0.060020779,0.206803245,0.573994105,1.221698369,-0.800892174,,,,,,
SLC29A1,-2.147016695,0.06032876,0.206803245,0.505342977,1.219475598,-0.984665215,,,,,,
NAALADL2,-2.132561488,0.061763773,0.208953063,0.343423233,1.209266184,-1.541940451,,,,,,
GOLIM4,-2.132321976,0.061787826,0.208953063,0.440916912,1.209097085,-1.18142128,,,,,,
NIBAN1,-2.131867668,0.061833476,0.208953063,0.447359262,1.208776342,-1.160494208,,,,,,
COX5A,-2.131186246,0.061902007,0.208953063,0.315544305,1.20829527,-1.664085507,,,,,,
THY1,-2.116455665,0.063401575,0.213084425,0.676372468,1.197899951,-0.56411016,,,,,,
TSPAN9,-2.110765147,0.063990224,0.214596282,0.450994016,1.193886372,-1.148819804,,,,,,
PTPRG,-2.108482556,0.064227824,0.214926875,0.298958386,1.19227679,-1.741983414,,,,,,
KRT18,-2.104234785,0.064672255,0.215946667,0.33283823,1.189281993,-1.587106943,,,,,,
PDIA4,-2.094224127,0.065731412,0.217922053,0.579925239,1.18222704,-0.786061168,,,,,,
EFEMP1,-2.093321939,0.065827684,0.217922053,0.598169758,1.181591427,-0.741373122,,,,,,
PLSCR4,-2.088186694,0.066378257,0.218583858,0.340222794,1.177974159,-1.555448294,,,,,,
GPD1L,-2.087504274,0.066451755,0.218583858,0.608095489,1.177493544,-0.717630208,,,,,,
PGAM1,-2.08617023,0.066595662,0.218592131,0.564742978,1.176554058,-0.824333668,,,,,,
EIF4A2,-2.079164561,0.067356325,0.220154077,0.418453617,1.171621616,-1.256860375,,,,,,
NEXN,-2.074856906,0.067828189,0.221228649,0.455328561,1.168589781,-1.135020137,,,,,,
SEC11A,-2.071828907,0.06816178,0.221848658,0.416592875,1.166459075,-1.263289928,,,,,,
ALDH2,-2.063374829,0.069101533,0.223984255,0.387754916,1.16051232,-1.366783023,,,,,,
SCAMP4,-2.063319797,0.069107691,0.223984255,0.554675543,1.16047362,-0.85028398,,,,,,
PYGB,-2.061375563,0.069325585,0.224220406,0.329927566,1.159106459,-1.599778771,,,,,,
ALDH3A2,-2.045026668,0.071184125,0.229220965,0.378161685,1.14761685,-1.402924895,,,,,,
ATP5PB,-2.039550693,0.071817253,0.229399738,0.295436688,1.143771211,-1.759079099,,,,,,
SLC25A3,-2.037721646,0.072029926,0.229533595,0.324609617,1.14248703,-1.623222351,,,,,,
SLC25A4,-2.035367302,0.072304567,0.229533595,0.3014059,1.140834269,-1.730220437,,,,,,
SERINC3,-2.028176018,0.073149677,0.231740574,0.626537477,1.135787589,-0.674527287,,,,,,
CTNND1,-2.025477222,0.07346927,0.232277078,0.655020227,1.133894277,-0.610388637,,,,,,
HEXB,-2.022475299,0.073826329,0.232921227,0.62820611,1.131788726,-0.670690119,,,,,,
ADH5,-2.020718955,0.074036004,0.232921227,0.698439847,1.13055703,-0.517792225,,,,,,
HLA-E,-2.019138857,0.074225125,0.232921227,0.525433443,1.129449062,-0.928420067,,,,,,
SLC44A2,-2.018717322,0.074275656,0.232921227,0.614630719,1.129153502,-0.702208221,,,,,,
ECE1,-2.015004235,0.074722184,0.233374742,0.417118052,1.126550441,-1.261472344,,,,,,
FMOD,-2.010250609,0.075297592,0.234697735,0.410781417,1.123218915,-1.283557177,,,,,,
ATP5PD,-1.998632976,0.076721724,0.238176275,0.409036744,1.115081648,-1.289697647,,,,,,
NHERF2,-1.992958898,0.07742658,0.239882752,0.565763004,1.111109921,-0.821730256,,,,,,
RCN3,-1.990388293,0.07774794,0.24001683,0.338939917,1.10931111,-1.560898542,,,,,,
FKBP9,-1.990129545,0.077780357,0.24001683,0.510216929,1.109130067,-0.970817327,,,,,,
ITGA10,-1.988443312,0.077991932,0.240190294,0.336992808,1.107950319,-1.569210291,,,,,,
NDUFB5,-1.986317921,0.078259391,0.240534828,0.485990371,1.106463535,-1.041000366,,,,,,
TXNRD1,-1.978898832,0.079199872,0.241822571,0.598869255,1.101275523,-0.739687026,,,,,,
SPARC,-1.978620334,0.079235384,0.241822571,0.214484522,1.101080833,-2.221054554,,,,,,
CDIPT,-1.978516507,0.079248627,0.241822571,0.283616926,1.101008251,-1.817984462,,,,,,
ENDOD1,-1.978082264,0.079304039,0.241822571,0.213581574,1.100704696,-2.227140903,,,,,,
ATP1A2,-1.971879711,0.080099546,0.243767515,0.393602038,1.096369946,-1.345190406,,,,,,
PANX1,-1.960719682,0.081550017,0.247208482,0.516884822,1.088575945,-0.952085257,,,,,,
