Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114
BMP7,0.0296,0.134,0.552,10,hsa-miR-22-3p,hsa-miR-342-3p,hsa-miR-34a-5p,hsa-let-7b-5p,hsa-miR-542-3p,hsa-miR-193b-5p,hsa-miR-24-3p,hsa-miR-637,hsa-miR-330-5p,hsa-miR-326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21orf62,0.0296,0.134,0.552,10,hsa-miR-335-5p,hsa-miR-129-5p,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-188-3p,hsa-miR-195-5p,hsa-miR-424-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTNNBIP1,0.0296,0.134,0.552,10,hsa-miR-29b-3p,hsa-miR-215-5p,hsa-miR-335-5p,hsa-miR-192-5p,hsa-miR-744-5p,hsa-miR-501-5p,hsa-miR-145-5p,hsa-miR-488-5p,hsa-miR-29c-3p,hsa-miR-29a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELOVL1,0.0296,0.134,0.552,10,hsa-miR-124-3p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-16-5p,hsa-let-7b-5p,hsa-miR-455-3p,hsa-miR-484,hsa-miR-513a-5p,hsa-miR-552-3p,hsa-miR-196a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,0.0296,0.134,0.552,10,hsa-let-7a-5p,hsa-miR-26a-5p,hsa-miR-335-5p,hsa-miR-365a-3p,hsa-miR-124-3p,hsa-miR-98-5p,hsa-miR-107,hsa-let-7c-5p,hsa-let-7f-5p,hsa-miR-9-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNJ15,0.0296,0.134,0.552,10,hsa-miR-9-5p,hsa-miR-98-5p,hsa-miR-548ao-3p,hsa-miR-340-3p,hsa-miR-433-5p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548aq-3p,hsa-miR-548am-3p,hsa-miR-548aj-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRRC57,0.0296,0.134,0.552,10,hsa-miR-21-5p,hsa-miR-877-5p,hsa-miR-668-3p,hsa-miR-100-3p,hsa-miR-670-3p,hsa-miR-411-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LURAP1L,0.0296,0.134,0.552,10,hsa-miR-335-5p,hsa-miR-503-5p,hsa-miR-646,hsa-miR-16-5p,hsa-miR-195-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-424-5p,hsa-miR-300,hsa-miR-381-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROX2,0.0296,0.134,0.552,10,hsa-miR-335-5p,hsa-miR-511-5p,hsa-miR-431-5p,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-513a-5p,hsa-miR-103a-2-5p,hsa-miR-622,hsa-miR-216a-3p,hsa-miR-128-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAB18,0.0296,0.134,0.552,10,hsa-miR-324-3p,hsa-miR-30b-5p,hsa-miR-30c-5p,hsa-miR-26a-5p,hsa-miR-200b-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-190a-3p,hsa-miR-561-5p,hsa-miR-132-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBM41,0.0296,0.134,0.728,30,hsa-miR-26b-5p,hsa-miR-592,hsa-miR-197-3p,hsa-miR-124-5p,hsa-miR-511-3p,hsa-miR-186-3p,hsa-miR-520g-3p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-519d-3p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-627-3p,hsa-miR-138-1-3p,hsa-miR-138-2-3p,hsa-miR-532-3p,hsa-miR-545-5p,hsa-miR-501-5p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNASEL,0.0296,0.134,0.552,10,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-29a-3p,hsa-miR-192-3p,hsa-miR-579-3p,hsa-miR-589-5p,hsa-miR-664b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL30,0.0296,0.134,0.552,10,hsa-miR-16-5p,hsa-miR-346,hsa-miR-93-5p,hsa-miR-20a-5p,hsa-let-7a-5p,hsa-miR-19b-2-5p,hsa-miR-19b-1-5p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTL6,0.0296,0.134,0.552,10,hsa-miR-744-5p,hsa-miR-770-5p,hsa-miR-29a-3p,hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-539-3p,hsa-miR-485-3p,hsa-miR-889-3p,hsa-miR-302d-5p,hsa-miR-302b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC35G2,0.0296,0.134,0.552,10,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-641,hsa-miR-376b-3p,hsa-miR-34a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM33,0.0296,0.134,0.728,30,hsa-miR-193b-3p,hsa-let-7b-5p,hsa-miR-328-3p,hsa-miR-191-5p,hsa-miR-590-3p,hsa-miR-887-5p,hsa-miR-450a-1-3p,hsa-miR-30b-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-24-3p,hsa-miR-342-3p,hsa-miR-186-3p,hsa-miR-545-5p,hsa-miR-335-3p,hsa-miR-580-5p,hsa-miR-212-5p,hsa-miR-143-3p,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-367-3p,hsa-miR-377-5p,hsa-miR-455-3p,hsa-miR-552-5p,hsa-miR-558,hsa-miR-583,hsa-miR-650,hsa-miR-92a-3p,hsa-miR-95-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
