Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57
EPHA5,0.0115,0.254,0.351,6,hsa-miR-574-5p,hsa-miR-297,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM110C,0.012,0.254,0.201,3,hsa-miR-335-5p,hsa-miR-192-5p,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM161B,0.0115,0.254,0.351,6,hsa-miR-580-3p,hsa-miR-100-3p,hsa-miR-411-5p,hsa-miR-19b-2-5p,hsa-miR-19a-5p,hsa-miR-590-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM182B,0.0115,0.254,0.351,6,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-190a-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANCF,0.0116,0.254,0.501,12,hsa-miR-335-3p,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-589-5p,hsa-miR-605-3p,hsa-miR-590-3p,hsa-miR-588,hsa-miR-19b-2-5p,hsa-miR-19a-5p,hsa-miR-32-3p,hsa-miR-548an,hsa-miR-889-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERMT1,0.012,0.254,0.201,3,hsa-miR-9-5p,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSHB,0.0121,0.254,0.263,4,hsa-miR-607,hsa-miR-616-3p,hsa-miR-501-5p,hsa-miR-500a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCM2,0.0121,0.254,0.263,4,hsa-miR-500b-5p,hsa-miR-362-5p,hsa-miR-500a-5p,hsa-miR-548b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGT6,0.012,0.254,0.201,3,hsa-miR-501-5p,hsa-miR-500a-5p,hsa-miR-605-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLGA6A,0.012,0.254,0.201,3,hsa-miR-192-5p,hsa-miR-335-5p,hsa-miR-450b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR37,0.012,0.254,0.201,3,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBP1,0.011,0.254,0.577,18,hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-9-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519d-3p,hsa-miR-519a-3p,hsa-miR-454-3p,hsa-miR-32-3p,hsa-miR-648,hsa-miR-509-5p,hsa-miR-509-3-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-98-3p,hsa-miR-381-3p,hsa-miR-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIVEP1,0.0117,0.254,0.387,7,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-433-3p,hsa-miR-595,hsa-miR-410-3p,hsa-miR-190a-3p,hsa-miR-548e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMGXB4,0.0123,0.254,0.521,13,hsa-let-7c-3p,hsa-miR-190a-3p,hsa-miR-297,hsa-miR-19a-5p,hsa-miR-19b-2-5p,hsa-let-7a-2-3p,hsa-miR-493-5p,hsa-miR-149-3p,hsa-miR-567,hsa-miR-557,hsa-miR-507,hsa-miR-106a-3p,hsa-miR-450b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORMAD2,0.0121,0.254,0.263,4,hsa-miR-335-5p,hsa-miR-580-3p,hsa-miR-103a-2-5p,hsa-miR-589-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID2,0.0121,0.254,0.466,10,hsa-miR-9-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-509-5p,hsa-miR-509-3-5p,hsa-miR-548n,hsa-miR-548az-5p,hsa-miR-222-5p,hsa-miR-581,hsa-miR-335-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDM1B,0.012,0.254,0.201,3,hsa-miR-373-3p,hsa-miR-192-5p,hsa-miR-215-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDM5A,0.0123,0.254,0.602,20,hsa-miR-335-5p,hsa-miR-517-5p,hsa-miR-520g-5p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-96-5p,hsa-miR-136-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEAP1,0.0121,0.254,0.263,4,hsa-miR-200a-3p,hsa-miR-7-5p,hsa-miR-141-3p,hsa-miR-141-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLF11,0.0121,0.254,0.263,4,hsa-miR-429,hsa-miR-200a-3p,hsa-miR-141-3p,hsa-miR-200b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRTAP4-2,0.012,0.254,0.201,3,hsa-miR-335-5p,hsa-miR-7-5p,hsa-miR-92a-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMBRD2,0.0117,0.254,0.387,7,hsa-miR-335-5p,hsa-miR-514b-3p,hsa-miR-514a-3p,hsa-miR-519e-3p,hsa-miR-33b-3p,hsa-miR-627-3p,hsa-miR-590-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRPPRC,0.0117,0.254,0.387,7,hsa-miR-340-5p,hsa-miR-877-3p,hsa-miR-576-5p,hsa-miR-620,hsa-miR-432-5p,hsa-miR-26a-2-3p,hsa-miR-26a-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRRK2,0.012,0.254,0.201,3,hsa-miR-205-5p,hsa-miR-335-5p,hsa-miR-582-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTN1,0.0121,0.254,0.263,4,hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-877-3p,hsa-miR-454-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASTL,0.011,0.254,0.577,18,hsa-miR-155-5p,hsa-miR-183-5p,hsa-miR-519d-3p,hsa-miR-552-5p,hsa-miR-454-3p,hsa-miR-186-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-190a-3p,hsa-miR-365b-5p,hsa-miR-365a-5p,hsa-miR-106a-3p,hsa-miR-122-5p,hsa-miR-215-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTRNR2L2,0.0121,0.254,0.263,4,hsa-miR-381-3p,hsa-miR-539-3p,hsa-miR-493-5p,hsa-miR-299-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NES,0.012,0.254,0.201,3,hsa-miR-155-5p,hsa-miR-432-5p,hsa-miR-487b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROG1,0.012,0.254,0.201,3,hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-9-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHSL1,0.0113,0.254,0.414,8,hsa-miR-192-5p,hsa-miR-32-5p,hsa-miR-877-3p,hsa-miR-548g-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRBF2,0.011,0.254,0.577,18,hsa-miR-644a,hsa-miR-377-5p,hsa-miR-382-3p,hsa-miR-595,hsa-miR-454-3p,hsa-miR-552-5p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-652-5p,hsa-miR-670-3p,hsa-miR-607,hsa-miR-212-5p,hsa-miR-660-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUP50,0.0109,0.254,0.586,19,hsa-miR-340-5p,hsa-miR-877-3p,hsa-miR-424-5p,hsa-miR-545-3p,hsa-miR-374b-3p,hsa-miR-302b-5p,hsa-miR-302d-5p,hsa-miR-221-5p,hsa-miR-613,hsa-miR-449b-3p,hsa-miR-302c-5p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-141-5p,hsa-miR-132-3p,hsa-miR-500a-5p,hsa-miR-410-3p,hsa-miR-96-5p,hsa-miR-376a-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPSS2,0.0117,0.254,0.387,7,hsa-miR-574-5p,hsa-miR-297,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,hsa-miR-335-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDH9,0.0115,0.254,0.351,6,hsa-miR-155-5p,hsa-miR-188-5p,hsa-miR-18b-5p,hsa-miR-548ba,hsa-miR-548ag,hsa-miR-548m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCLO,0.0121,0.254,0.263,4,hsa-miR-432-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-548e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHF8,0.0108,0.254,0.542,15,hsa-miR-335-5p,hsa-miR-190a-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-656-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-939-5p,hsa-miR-637,hsa-miR-362-3p,hsa-miR-649,hsa-miR-222-5p,hsa-miR-205-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAGL2,0.0119,0.254,0.711,40,hsa-miR-122-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-296-3p,hsa-miR-548n,hsa-miR-513a-5p,hsa-miR-205-5p,hsa-miR-766-3p,hsa-miR-335-5p,hsa-miR-15b-3p,hsa-miR-545-5p,hsa-miR-759,hsa-miR-595,hsa-miR-132-3p,hsa-miR-583,hsa-miR-502-5p,hsa-miR-545-3p,hsa-miR-634,hsa-miR-553,hsa-miR-149-3p,hsa-miR-7-5p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-613,hsa-miR-519d-3p,hsa-miR-184,hsa-miR-552-3p,hsa-miR-577,hsa-miR-31-5p,hsa-miR-522-3p,,,,,,,,,,,,,,,,,
POLR1B,0.0107,0.254,0.594,20,hsa-miR-155-5p,hsa-miR-410-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-519d-3p,hsa-miR-454-3p,hsa-miR-500a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRR14L,0.0123,0.254,0.633,24,hsa-miR-505-5p,hsa-miR-506-3p,hsa-miR-302c-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-545-5p,hsa-miR-548az-5p,hsa-miR-633,hsa-miR-203b-3p,hsa-miR-591,hsa-miR-410-3p,hsa-miR-888-3p,hsa-miR-606,hsa-miR-519d-3p,hsa-miR-182-3p,hsa-miR-19a-5p,hsa-miR-19b-2-5p,hsa-miR-377-5p,hsa-miR-510-5p,hsa-miR-548n,hsa-miR-569,hsa-miR-613,hsa-miR-761,hsa-miR-877-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSEN1,0.0121,0.254,0.263,4,hsa-miR-155-5p,hsa-miR-183-5p,hsa-miR-655-3p,hsa-miR-374c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTBP1,0.0123,0.254,0.633,24,hsa-miR-340-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548n,hsa-miR-548az-5p,hsa-miR-194-5p,hsa-miR-624-3p,hsa-miR-802,hsa-miR-329-5p,hsa-miR-506-3p,hsa-miR-605-3p,hsa-miR-647,hsa-miR-604,hsa-miR-133b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAD1,0.012,0.254,0.201,3,hsa-miR-155-5p,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP1B,0.011,0.254,0.566,17,hsa-miR-518b,hsa-miR-155-5p,hsa-miR-651-3p,hsa-miR-494-3p,hsa-miR-580-3p,hsa-miR-513a-5p,hsa-miR-454-5p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-510-3p,hsa-miR-378h,hsa-miR-378f,hsa-miR-378d,hsa-miR-378c,hsa-miR-378b,hsa-miR-369-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC23B,0.0108,0.254,0.542,15,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-590-3p,hsa-miR-454-3p,hsa-miR-122-5p,hsa-miR-18a-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB,0.012,0.254,0.201,3,hsa-miR-590-3p,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC2A12,0.0115,0.254,0.351,6,hsa-miR-335-5p,hsa-miR-574-5p,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-502-3p,hsa-miR-501-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMG1,0.0111,0.254,0.67,31,hsa-miR-335-5p,hsa-miR-877-5p,hsa-miR-31-5p,hsa-miR-183-5p,hsa-miR-648,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,hsa-miR-545-5p,hsa-miR-330-3p,hsa-miR-362-3p,hsa-miR-647,hsa-miR-502-5p,hsa-miR-141-5p,hsa-miR-212-5p,hsa-miR-510-3p,hsa-miR-488-3p,hsa-miR-548az-5p,hsa-miR-122-5p,hsa-miR-575,hsa-miR-32-5p,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCS2,0.012,0.254,0.201,3,hsa-miR-194-5p,hsa-miR-7-5p,hsa-miR-424-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCS5,0.0123,0.254,0.633,24,hsa-miR-9-5p,hsa-miR-374b-3p,hsa-miR-203b-3p,hsa-miR-424-5p,hsa-miR-651-3p,hsa-miR-761,hsa-miR-493-5p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-663b,hsa-miR-938,hsa-miR-186-3p,hsa-miR-552-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519d-3p,hsa-miR-548az-5p,hsa-miR-578,hsa-miR-661,hsa-miR-873-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX30,0.012,0.254,0.201,3,hsa-miR-373-3p,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM100,0.0123,0.254,0.521,13,hsa-miR-374b-3p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-519d-3p,hsa-miR-302d-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302b-3p,hsa-miR-578,hsa-miR-627-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM30B,0.011,0.254,0.566,17,hsa-miR-335-5p,hsa-miR-377-5p,hsa-miR-142-5p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548ay-5p,hsa-miR-548b-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-576-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUBGCP3,0.0121,0.254,0.263,4,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-18a-3p,hsa-miR-668-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUG1,0.012,0.254,0.201,3,hsa-miR-144-3p,hsa-miR-9-3p,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBASH3B,0.0115,0.254,0.351,6,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-200a-3p,hsa-miR-491-3p,hsa-miR-586,hsa-let-7a-2-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDR82P1,0.0121,0.254,0.466,10,hsa-miR-493-3p,hsa-miR-18b-5p,hsa-miR-585-3p,hsa-miR-675-3p,hsa-miR-502-3p,hsa-miR-501-3p,hsa-miR-516b-3p,hsa-miR-516a-3p,hsa-miR-135b-5p,hsa-miR-135a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFCAB11,0.0126,0.259,0.594,19,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-135b-3p,hsa-miR-508-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519d-3p,hsa-miR-297,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,hsa-miR-937-5p,hsa-miR-186-3p,hsa-miR-502-3p,hsa-miR-501-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC24A,0.0126,0.259,0.594,19,hsa-miR-377-5p,hsa-miR-329-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-98-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-892c-5p,hsa-miR-646,hsa-miR-424-5p,hsa-miR-503-5p,hsa-miR-9-3p,hsa-miR-676-5p,hsa-miR-888-3p,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-664b-3p,hsa-miR-579-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERAC1,0.0127,0.261,0.537,14,hsa-miR-9-5p,hsa-miR-122-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-924,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-450a-1-3p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-377-5p,hsa-miR-610,hsa-miR-556-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEP120,0.0129,0.264,0.575,17,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-142-5p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548as-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIF13A,0.0129,0.264,0.552,15,hsa-miR-362-3p,hsa-let-7f-2-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-454-3p,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-511-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTMR9,0.013,0.264,0.564,16,hsa-miR-433-3p,hsa-miR-212-5p,hsa-miR-186-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519d-3p,hsa-miR-192-5p,hsa-miR-215-5p,hsa-miR-374a-3p,hsa-miR-552-5p,hsa-miR-7-1-3p,hsa-miR-7-2-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAWR,0.0129,0.264,0.552,15,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-621,hsa-miR-363-3p,hsa-miR-32-5p,hsa-miR-591,hsa-miR-496,hsa-miR-590-3p,hsa-miR-203b-3p,hsa-miR-493-3p,hsa-miR-186-3p,hsa-miR-548ba,hsa-miR-548ag,hsa-miR-548n,hsa-miR-95-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKAA1,0.013,0.264,0.564,16,hsa-miR-154-3p,hsa-miR-487a-3p,hsa-miR-297,hsa-miR-675-3p,hsa-miR-582-5p,hsa-miR-567,hsa-miR-299-3p,hsa-miR-607,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-454-3p,hsa-miR-424-5p,hsa-miR-451b,hsa-miR-548e-5p,hsa-miR-9-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNX1T1,0.0129,0.264,0.552,15,hsa-miR-574-5p,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-505-5p,hsa-miR-552-3p,hsa-miR-548e-5p,hsa-miR-424-5p,hsa-miR-670-3p,hsa-miR-587,hsa-miR-568,hsa-miR-877-3p,hsa-miR-384,hsa-miR-202-5p,hsa-miR-337-3p,hsa-miR-581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWHAE,0.013,0.264,0.661,28,hsa-miR-877-3p,hsa-miR-31-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-203b-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548b-3p,hsa-miR-597-3p,hsa-miR-182-3p,hsa-miR-876-3p,hsa-miR-10b-3p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-569,hsa-miR-329-5p,hsa-miR-32-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDE2,0.0132,0.269,0.622,22,hsa-miR-513c-5p,hsa-miR-514b-5p,hsa-miR-605-3p,hsa-miR-606,hsa-miR-7-5p,hsa-miR-641,hsa-miR-506-3p,hsa-miR-202-3p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548b-5p,hsa-miR-548bb-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-559,hsa-miR-583,hsa-miR-633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER3,0.0134,0.27,0.492,11,hsa-miR-190a-3p,hsa-miR-340-5p,hsa-miR-410-3p,hsa-miR-142-5p,hsa-miR-580-3p,hsa-miR-335-3p,hsa-miR-450b-5p,hsa-miR-507,hsa-miR-557,hsa-miR-579-3p,hsa-miR-664b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
