Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114,microRNA 115,microRNA 116,microRNA 117
FUT11,0.0705,0.214,0.793,34,hsa-miR-215-5p,hsa-miR-484,hsa-miR-331-3p,hsa-miR-18b-3p,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-367-3p,hsa-miR-92b-3p,hsa-miR-455-3p,hsa-miR-200a-3p,hsa-miR-141-3p,hsa-miR-548ad-3p,hsa-miR-129-5p,hsa-miR-505-3p,hsa-miR-876-5p,hsa-miR-138-5p,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-552-5p,hsa-miR-607,hsa-miR-543,hsa-miR-186-5p,hsa-miR-449b-3p,hsa-miR-675-5p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-301b-3p,hsa-miR-371b-5p,hsa-miR-372-5p,hsa-miR-373-5p,hsa-miR-616-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TET3,0.0705,0.214,0.793,34,hsa-miR-548b-3p,hsa-miR-98-5p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-410-5p,hsa-miR-584-5p,hsa-miR-758-5p,hsa-miR-323b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-149-3p,hsa-miR-106b-5p,hsa-miR-20b-5p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-195-5p,hsa-miR-141-3p,hsa-miR-29a-3p,hsa-miR-29b-3p,hsa-miR-29c-3p,hsa-miR-508-5p,hsa-miR-766-3p,hsa-miR-641,hsa-miR-583,hsa-miR-218-2-3p,hsa-miR-605-3p,hsa-miR-564,hsa-miR-106b-3p,hsa-miR-185-3p,hsa-miR-627-3p,hsa-miR-193b-3p,hsa-miR-193a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPA,0.0709,0.215,0.657,12,hsa-miR-744-5p,hsa-miR-421,hsa-miR-92b-3p,hsa-miR-193b-3p,hsa-miR-23b-3p,hsa-miR-127-5p,hsa-miR-376b-3p,hsa-miR-146a-5p,hsa-miR-589-5p,hsa-miR-648,hsa-miR-122-5p,hsa-miR-504-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPTOR,0.0709,0.215,0.657,12,hsa-miR-190a-3p,hsa-miR-384,hsa-miR-329-5p,hsa-miR-624-3p,hsa-miR-365b-3p,hsa-miR-365a-3p,hsa-miR-668-3p,hsa-miR-215-3p,hsa-miR-301a-5p,hsa-miR-146a-3p,hsa-miR-26a-2-3p,hsa-miR-26a-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H3H,0.0709,0.215,0.657,12,hsa-miR-34a-5p,hsa-miR-193b-3p,hsa-miR-484,hsa-miR-378a-3p,hsa-miR-34a-3p,hsa-miR-146a-3p,hsa-miR-379-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-760,hsa-miR-503-3p,hsa-miR-299-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IER5,0.0708,0.215,0.772,28,hsa-miR-744-5p,hsa-miR-33a-5p,hsa-miR-26b-5p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-149-3p,hsa-miR-30e-5p,hsa-miR-491-5p,hsa-miR-939-5p,hsa-miR-143-3p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-24-3p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-335-3p,hsa-miR-511-5p,hsa-miR-676-5p,hsa-miR-532-3p,hsa-miR-216b-5p,hsa-miR-101-3p,hsa-miR-340-3p,hsa-miR-558,hsa-miR-582-5p,hsa-miR-650,hsa-miR-655-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCOA7,0.0709,0.215,0.657,12,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7a-3p,hsa-miR-181d-5p,hsa-miR-181c-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-32-3p,hsa-miR-543,hsa-miR-516a-3p,hsa-miR-516b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXPE3,0.0709,0.215,0.657,12,hsa-miR-421,hsa-miR-148b-3p,hsa-miR-337-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-649,hsa-miR-196b-5p,hsa-miR-196a-5p,hsa-miR-193a-5p,hsa-miR-367-5p,hsa-miR-744-3p,hsa-miR-874-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFC2,0.0708,0.215,0.772,28,hsa-miR-1-3p,hsa-miR-149-5p,hsa-miR-196a-5p,hsa-miR-106a-3p,hsa-miR-593-5p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-183-5p,hsa-miR-301b-3p,hsa-miR-130b-3p,hsa-miR-130a-3p,hsa-miR-377-5p,hsa-miR-202-3p,hsa-miR-98-5p,hsa-let-7i-5p,hsa-let-7g-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-485-5p,hsa-miR-510-5p,hsa-miR-512-5p,hsa-miR-23a-5p,hsa-miR-23b-5p,hsa-miR-660-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFWD3,0.0709,0.215,0.657,12,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-215-5p,hsa-miR-484,hsa-miR-339-5p,hsa-miR-125b-5p,hsa-let-7c-5p,hsa-miR-654-5p,hsa-miR-541-3p,hsa-miR-492,hsa-miR-877-3p,hsa-miR-876-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRN3,0.0709,0.215,0.657,12,hsa-miR-93-5p,hsa-miR-191-5p,hsa-miR-92b-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-367-3p,hsa-miR-92a-3p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNDC3B,0.0709,0.215,0.657,12,hsa-miR-221-3p,hsa-miR-10b-5p,hsa-miR-29b-3p,hsa-miR-99a-5p,hsa-miR-33a-5p,hsa-miR-16-5p,hsa-miR-587,hsa-miR-532-3p,hsa-miR-150-5p,hsa-miR-186-3p,hsa-miR-129-5p,hsa-miR-510-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFT2D3,0.0709,0.215,0.657,12,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-593-5p,hsa-miR-300,hsa-miR-384,hsa-miR-223-5p,hsa-miR-888-3p,hsa-miR-424-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7a-3p,hsa-miR-330-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX6,0.0709,0.215,0.787,32,hsa-miR-20a-5p,hsa-miR-106b-5p,hsa-miR-19b-3p,hsa-miR-19a-3p,hsa-miR-185-5p,hsa-miR-301b-3p,hsa-miR-130b-3p,hsa-miR-130a-3p,hsa-miR-634,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-761,hsa-miR-214-3p,hsa-miR-567,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-411-5p,hsa-miR-513b-3p,hsa-miR-148b-3p,hsa-miR-148a-3p,hsa-miR-152-3p,hsa-miR-1-3p,hsa-miR-613,hsa-miR-576-5p,hsa-miR-138-2-3p,hsa-miR-647,hsa-miR-642b-5p,hsa-miR-9-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-20b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUP155,0.071,0.215,0.78,30,hsa-let-7b-5p,hsa-miR-92a-3p,hsa-miR-16-5p,hsa-let-7e-5p,hsa-miR-298,hsa-miR-302f,hsa-miR-944,hsa-miR-548ba,hsa-miR-548ag,hsa-miR-624-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-98-5p,hsa-let-7a-5p,hsa-miR-196a-5p,hsa-miR-196b-5p,hsa-miR-455-3p,hsa-miR-377-5p,hsa-miR-450a-1-3p,hsa-miR-30b-3p,hsa-miR-30c-1-3p,hsa-miR-149-3p,hsa-miR-9-5p,hsa-miR-764,hsa-miR-125a-3p,hsa-miR-548s,hsa-miR-649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCP2,0.072,0.218,0.739,21,hsa-miR-148b-3p,hsa-miR-128-3p,hsa-miR-24-3p,hsa-miR-92a-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-23c,hsa-miR-452-3p,hsa-miR-95-5p,hsa-miR-944,hsa-miR-888-5p,hsa-miR-330-3p,hsa-miR-888-3p,hsa-miR-664b-3p,hsa-miR-579-3p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-640,hsa-miR-512-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTF2A1,0.072,0.218,0.739,21,hsa-miR-96-5p,hsa-miR-21-5p,hsa-miR-424-5p,hsa-miR-26b-5p,hsa-miR-26a-5p,hsa-miR-95-5p,hsa-miR-548e-5p,hsa-miR-192-3p,hsa-miR-517-5p,hsa-miR-92b-3p,hsa-miR-92a-3p,hsa-miR-367-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-302f,hsa-miR-299-3p,hsa-miR-583,hsa-miR-106a-3p,hsa-miR-410-3p,hsa-miR-92a-1-5p,hsa-miR-663b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMY,0.072,0.218,0.739,21,hsa-miR-21-5p,hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-301b-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-224-3p,hsa-miR-522-3p,hsa-miR-889-3p,hsa-miR-16-1-3p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-759,hsa-miR-216a-3p,hsa-miR-128-3p,hsa-miR-587,hsa-miR-885-5p,hsa-miR-516b-3p,hsa-miR-516a-3p,hsa-miR-18b-5p,hsa-miR-18a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXIN1,0.0743,0.222,0.445,4,hsa-miR-320c,hsa-miR-769-3p,hsa-miR-484,hsa-miR-92a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3GNT5,0.0743,0.222,0.445,4,hsa-miR-30b-5p,hsa-miR-215-5p,hsa-miR-21-5p,hsa-miR-30c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6orf48,0.0743,0.222,0.445,4,hsa-miR-568,hsa-miR-643,hsa-miR-410-3p,hsa-miR-641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCDC38,0.0744,0.222,0.647,11,hsa-miR-297,hsa-miR-190a-3p,hsa-miR-567,hsa-miR-410-3p,hsa-miR-33a-3p,hsa-miR-409-3p,hsa-miR-455-3p,hsa-miR-25-5p,hsa-miR-658,hsa-miR-377-5p,hsa-miR-361-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDC14A,0.0743,0.222,0.445,4,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-215-5p,hsa-miR-630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMD6,0.0743,0.222,0.445,4,hsa-miR-106b-5p,hsa-miR-335-3p,hsa-miR-744-3p,hsa-miR-95-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSTF2T,0.0744,0.222,0.647,11,hsa-miR-148b-3p,hsa-miR-221-3p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-519e-5p,hsa-miR-515-5p,hsa-miR-222-3p,hsa-miR-187-5p,hsa-miR-873-3p,hsa-miR-141-5p,hsa-miR-99b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDR2,0.0738,0.222,0.752,23,hsa-miR-21-5p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-645,hsa-miR-454-5p,hsa-miR-506-5p,hsa-miR-892c-5p,hsa-miR-129-2-3p,hsa-miR-129-1-3p,hsa-miR-548ar-3p,hsa-miR-548e-3p,hsa-miR-548g-3p,hsa-miR-569,hsa-miR-633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX46,0.0743,0.222,0.445,4,hsa-miR-93-5p,hsa-miR-21-5p,hsa-miR-99a-5p,hsa-miR-138-2-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGKI,0.0743,0.222,0.445,4,hsa-miR-26b-5p,hsa-miR-127-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAS1,0.0743,0.222,0.445,4,hsa-miR-185-5p,hsa-miR-145-5p,hsa-miR-20a-5p,hsa-miR-17-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM210B,0.0744,0.222,0.647,11,hsa-miR-122-5p,hsa-miR-143-5p,hsa-miR-24-3p,hsa-miR-504-3p,hsa-miR-642a-5p,hsa-miR-129-5p,hsa-miR-153-3p,hsa-miR-448,hsa-miR-450b-5p,hsa-miR-507,hsa-miR-557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2AI,0.0744,0.222,0.647,11,hsa-miR-34a-5p,hsa-miR-760,hsa-miR-149-5p,hsa-miR-218-1-3p,hsa-miR-9-5p,hsa-miR-146a-3p,hsa-miR-450a-1-3p,hsa-miR-769-3p,hsa-miR-450b-3p,hsa-miR-135b-3p,hsa-miR-219a-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORMAD2,0.0743,0.222,0.445,4,hsa-miR-580-3p,hsa-miR-103a-2-5p,hsa-miR-146a-5p,hsa-miR-589-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUP,0.0743,0.222,0.445,4,hsa-miR-124-3p,hsa-miR-1-3p,hsa-miR-30a-5p,hsa-miR-30c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMTOR5,0.0743,0.222,0.445,4,hsa-miR-16-5p,hsa-miR-501-5p,hsa-miR-215-5p,hsa-miR-221-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGR4,0.0743,0.222,0.445,4,hsa-miR-196a-5p,hsa-miR-98-5p,hsa-miR-449b-3p,hsa-let-7b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTN1,0.0743,0.222,0.445,4,hsa-miR-30a-5p,hsa-miR-101-3p,hsa-miR-19b-3p,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVRN,0.0743,0.222,0.445,4,hsa-miR-203b-3p,hsa-miR-627-3p,hsa-miR-676-5p,hsa-miR-409-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LY6G6D,0.0743,0.222,0.445,4,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-623,hsa-miR-642b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LY6G6F,0.0743,0.222,0.445,4,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-623,hsa-miR-642b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPK3,0.0743,0.222,0.445,4,hsa-miR-320b,hsa-miR-34a-5p,hsa-miR-550a-3p,hsa-miR-9-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT2B,0.0743,0.222,0.445,4,hsa-miR-26b-5p,hsa-let-7b-5p,hsa-miR-21-3p,hsa-miR-377-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCM3AP,0.0743,0.222,0.445,4,hsa-miR-484,hsa-miR-222-3p,hsa-miR-26a-5p,hsa-let-7a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTF2,0.0739,0.222,0.721,18,hsa-miR-98-5p,hsa-miR-24-3p,hsa-miR-183-5p,hsa-miR-19a-3p,hsa-miR-409-3p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,hsa-miR-548ao-5p,hsa-miR-548ax,hsa-miR-340-5p,hsa-miR-33a-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-642a-3p,hsa-miR-539-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTFR1,0.0744,0.222,0.647,11,hsa-miR-455-3p,hsa-let-7e-5p,hsa-miR-143-5p,hsa-miR-577,hsa-miR-125a-3p,hsa-miR-552-3p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7a-3p,hsa-miR-324-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTRNR2L2,0.0743,0.222,0.445,4,hsa-miR-376c-3p,hsa-miR-539-3p,hsa-miR-493-5p,hsa-miR-299-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACA2,0.0743,0.222,0.445,4,hsa-miR-607,hsa-miR-101-3p,hsa-miR-513c-3p,hsa-miR-513a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNT,0.0738,0.222,0.752,23,hsa-miR-34a-5p,hsa-miR-106b-5p,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-29b-3p,hsa-miR-511-5p,hsa-miR-374b-5p,hsa-miR-503-3p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-501-5p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-216b-5p,hsa-miR-216a-5p,hsa-miR-592,hsa-miR-188-3p,hsa-miR-581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOD2,0.0743,0.222,0.445,4,hsa-miR-215-5p,hsa-miR-122-5p,hsa-miR-320b,hsa-miR-320c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSBPL6,0.0743,0.222,0.445,4,hsa-miR-215-5p,hsa-miR-33a-5p,hsa-miR-27b-3p,hsa-miR-651-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
