T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC
RPN1,-3.285200185,0.003378573,0.010881821,0.408060424,2.471266687,-1.293145299
LMCD1,-3.285636639,0.00337508,0.010881821,0.357387476,2.471715898,-1.484439015
NDUFC2,-3.289770465,0.003342172,0.01080962,0.429931511,2.475971183,-1.21782124
MYOF,-3.290983688,0.003332573,0.010801171,0.619360841,2.477220271,-0.691147923
MAP1B,-3.294533211,0.003304644,0.010733151,0.291573995,2.480875291,-1.778066039
ANO1,-3.300514539,0.003258095,0.010604241,0.5795548,2.487036295,-0.786983013
MDH1,-3.304530851,0.003227197,0.010525835,0.672217102,2.491174588,-0.573000848
CES1,-3.307571151,0.003203997,0.01047226,0.239745228,2.494307936,-2.060425997
SLC25A4,-3.311535553,0.003173989,0.010396159,0.370555958,2.49839458,-1.432236671
ATP6V1B2,3.336473661,0.002991403,0.009818916,2.512706612,2.524125033,1.329242229
ATP5PB,-3.337438465,0.002984549,0.009817261,0.326947032,2.525121291,-1.61287117
RDH11,-3.337546954,0.002983779,0.009817261,0.317489635,2.525233321,-1.655218601
UGGT1,-3.339928021,0.002966933,0.009801022,0.36742944,2.527692285,-1.444460869
SPCS1,-3.344859032,0.002932339,0.009707488,0.341101457,2.532785753,-1.551727176
RAB8A,3.347566444,0.002913513,0.009665861,1.564371236,2.535583012,0.645582914
APOC1,3.352107087,0.002882203,0.009582552,1.632858984,2.540275367,0.707400203
CALR,-3.354300799,0.002867195,0.009553196,0.495399001,2.542542836,-1.013337135
GPR107,-3.357944715,0.002842432,0.009491144,0.428624014,2.546309926,-1.222215414
SCAMP4,-3.371538516,0.00275188,0.009208674,0.427375085,2.560370433,-1.22642529
SSR1,-3.375254504,0.002727621,0.009147293,0.31343753,2.564215958,-1.673750162
F13B,3.386849856,0.002653256,0.008936675,1.979933365,2.576220854,0.985451877
ANXA4,-3.394480269,0.002605403,0.008794656,0.720443121,2.584125136,-0.473043561
SLC29A1,-3.398263202,0.002581992,0.008734704,0.566728674,2.588045118,-0.819269896
PRXL2A,-3.399878685,0.002572057,0.008720176,0.270613011,2.589719382,-1.885696888
CRP,3.408779055,0.002517988,0.00857447,2.324893317,2.598946328,1.217164516
SDC4,-3.415011463,0.002480789,0.008466446,0.433345811,2.605410141,-1.206409335
FKBP2,-3.418254935,0.002461643,0.008419691,0.360761514,2.608774922,-1.470882654
SELENOP,3.419064411,0.002456887,0.008419691,2.764759571,2.609614767,1.467154026
NUCB1,-3.419117612,0.002456575,0.008419691,0.563955178,2.609669965,-0.826347589
CALD1,-3.423783432,0.002429341,0.008364723,0.420358306,2.614511571,-1.250308514
TPM4,3.427184791,0.002409673,0.008315524,1.845920176,2.618041851,0.884340167
SCARB2,-3.42841344,0.002402607,0.008309688,0.782704152,2.61931723,-0.353460997
CD209,3.431178779,0.002386778,0.008273449,1.888512659,2.622188056,0.917250454
NENF,-3.435400058,0.00236281,0.008208774,0.392934676,2.626571183,-1.347638607
ANO10,-3.438437159,0.002345712,0.008167726,0.383291294,2.629725344,-1.383486867
CCDC80,3.438634184,0.002344607,0.008167726,2.345086405,2.62992998,1.22964108
NAALADL2,-3.441899807,0.002326365,0.008137016,0.348913983,2.633322076,-1.519056678
KRT18,-3.444192235,0.002313643,0.008110867,0.312021178,2.635703638,-1.680284142
CYRIB,3.451924955,0.002271229,0.007980272,3.063920738,2.643739145,1.615378976
GLUL,3.453991068,0.002260025,0.007958995,2.550524076,2.645886713,1.350793719
BASP1,-3.456092807,0.002248684,0.007937136,0.654423295,2.648071548,-0.611703992
ITGB2,3.472760059,0.002160697,0.007644021,1.700728087,2.665406164,0.766152501
VAMP3,-3.476284825,0.002142526,0.007597121,0.570716086,2.669073954,-0.809154868
ACTN4,-3.478800197,0.00212965,0.007568825,0.693659651,2.67169179,-0.527700126
ICAM1,3.479766683,0.002124723,0.007568713,3.080591379,2.672697735,1.623207331
CLU,3.483711131,0.002104729,0.007514808,1.54334998,2.676803726,0.626065254
PARVA,-3.487459579,0.0020859,0.007464819,0.533958631,2.680706439,-0.905200124
GPC6,-3.493161536,0.002057574,0.007380534,0.586160822,2.686644449,-0.770631552
APRT,3.49489454,0.00204904,0.007367014,2.123006698,2.688449526,1.086108923
PGRMC2,-3.496713579,0.00204012,0.007352039,0.214735091,2.690344383,-2.219370127
ATP2B4,-3.499086194,0.002028541,0.007327395,0.4868408,2.692816142,-1.038478017
PTPRG,-3.502530141,0.00201185,0.00728412,0.327468495,2.696404509,-1.61057198
PIP4K2A,-3.50403656,0.002004591,0.007274876,0.524801161,2.697974287,-0.930157185
FBLIM1,-3.505083281,0.001999562,0.007273701,0.308016188,2.699065101,-1.698921919
FSTL1,-3.507239774,0.001989241,0.007253223,0.336096317,2.701312607,-1.57305336
F11R,3.513533736,0.001959415,0.007161361,1.916790614,2.707873535,0.938692749
IGLV1-36,3.515404005,0.001950637,0.007146173,3.131218585,2.709823514,1.646724224
NPTN,-3.515463414,0.001950359,0.007146173,0.614003164,2.709885457,-0.703682005
ISLR,-3.51638566,0.001946045,0.007146173,0.475071669,2.710847076,-1.073782921
CD81,-3.530841466,0.001879639,0.006935375,0.719941756,2.725925489,-0.474047899
PLA2G7,3.532440426,0.001872432,0.006925311,3.661285346,2.727593942,1.872350216
ANK1,3.541397523,0.001832557,0.006794083,4.593311595,2.736942599,2.199534655
CYB5B,-3.543306561,0.001824166,0.006779233,0.568265913,2.738935587,-0.815361917
SEC11A,-3.55662956,0.001766651,0.006581307,0.359602179,2.752849254,-1.475526333
GPLD1,3.566137757,0.001726696,0.006448001,5.226043238,2.762784052,2.385719061
NCKAP1L,3.591532739,0.001624282,0.006080242,2.190428599,2.789338566,1.131213188
ATP9A,-3.593426664,0.001616888,0.006067254,0.271700105,2.791320119,-1.879912972
MPP1,3.594852128,0.001611344,0.006061164,3.344982798,2.792811641,1.741998792
ENPP1,-3.595116846,0.001610317,0.006061164,0.521322495,2.793088635,-0.939751983
TXNDC12,-3.598514298,0.001597188,0.006037293,0.423860179,2.796643925,-1.238339663
CHP1,-3.604936723,0.001572657,0.005959135,0.361043862,2.80336609,-1.469753981
STEAP4,3.60688759,0.001565279,0.005945751,3.555689007,2.805408358,1.830129147
ITGA6,3.611629348,0.001547487,0.005892648,2.594442182,2.810372955,1.375424385
SNAP23,-3.61475904,0.001535853,0.005862788,0.618755707,2.813650251,-0.692558169
MST1L,3.619583751,0.001518087,0.005809313,2.806314206,2.818703318,1.488676548
MMP9,3.620367543,0.00151522,0.005809313,3.438285645,2.819524299,1.781689405
SDC3,-3.621510092,0.00151105,0.005809313,0.378695141,2.820721108,-1.400891185
DPP4,3.621700548,0.001510356,0.005809313,3.290315838,2.820920613,1.718226075
ERGIC1,-3.623121071,0.00150519,0.005809313,0.617138819,2.822408683,-0.696333051
EEF1A1,3.62347588,0.001503902,0.005809313,1.392219841,2.822780376,0.477387041
ATP6V1A,3.628828461,0.001484608,0.005766843,4.220267376,2.828388309,2.077334404
MGAT1,3.633758923,0.00146705,0.005712996,2.308201397,2.833555035,1.206769109
ITGAX,3.634631953,0.001463963,0.005712996,3.090510503,2.834470004,1.627845168
