T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC
APOC3,-0.000188226,0.999851514,0.999851514,0.999957786,6.44914E-05,-6.09037E-05
MDH2,-0.000278076,0.999780633,0.999851514,0.999923432,9.52801E-05,-0.000110468
ARRDC1,-0.00128673,0.998984935,0.999851514,0.999620351,0.000441061,-0.000547822
NAP1L1,0.009604382,0.992423493,0.994353026,1.002214629,0.003302964,0.003191502
PRG4,-0.009773973,0.992289714,0.994353026,0.998155624,0.00336151,-0.002663329
ADH1B,0.013156715,0.989621348,0.992832319,1.001625676,0.004530945,0.00234345
COL1A2,0.015150526,0.988048651,0.991898191,1.004813555,0.005221671,0.006927831
AP2B1,-0.015333594,0.987904252,0.991898191,0.995591682,0.005285146,-0.006373918
VPS35,0.01801809,0.985786836,0.990914465,1.004672067,0.006216986,0.006724671
NCSTN,-0.018045971,0.985764845,0.990914465,0.998319174,0.006226674,-0.002426959
RPL7A,-0.021812735,0.982793968,0.989192367,0.992959645,0.007537518,-0.010193009
RRAGC,0.035877987,0.971703204,0.979304533,1.007760038,0.012466365,0.011152153
CCT8,0.037559847,0.970377367,0.978606268,1.010905535,0.013059342,0.01564819
GNG5,0.040665885,0.967929059,0.976774364,1.009020954,0.014156471,0.012956134
PSMB6,-0.041434765,0.967323046,0.976774364,0.987421997,0.014428465,-0.01826131
ACTR3,0.041756057,0.967069816,0.976774364,1.005007378,0.014542171,0.007206092
SRC,-0.049468374,0.960992413,0.97167709,0.987242356,0.017280041,-0.018523803
MTPN,0.051356646,0.959504785,0.970807852,1.014907216,0.017952855,0.021347841
B2M,0.052142265,0.9588859,0.970807852,1.007446435,0.018233068,0.010703133
FARP1,0.056557085,0.955408547,0.967930285,1.01973452,0.019810878,0.028193606
PRPS1,0.059730141,0.952909833,0.96603187,1.01270128,0.020948192,0.018208681
GM2A,-0.064043556,0.949513907,0.963220801,0.99129421,0.02249867,-0.012614791
PICALM,-0.070044728,0.944790867,0.959058884,0.979123677,0.024664314,-0.030436991
RAB31,-0.076682474,0.939569254,0.954385063,0.981455726,0.027071204,-0.027004907
VPS37C,-0.080733638,0.936383737,0.95177466,0.976673207,0.028546138,-0.034052175
LAMP2,-0.088048325,0.930634836,0.94655359,0.985580505,0.031220695,-0.020954376
SAR1A,-0.089186955,0.929740282,0.946266278,0.987764569,0.031638352,-0.017760875
CTSF,-0.089766511,0.929284995,0.946266278,0.97413421,0.031851075,-0.037807543
SGCE,-0.09048963,0.928716963,0.946266278,0.9774097,0.032116622,-0.032964673
SIGLEC1,-0.098033764,0.922793193,0.941054272,0.966279908,0.034895618,-0.049486931
COLGALT1,0.101664723,0.919943718,0.938767649,1.034658908,0.036238742,0.049155239
USP5,0.107114032,0.915669327,0.935022972,1.031583646,0.038261333,0.044860806
ASAH1,-0.107488835,0.915375429,0.935022972,0.977685963,0.038400749,-0.032556955
KRT13,0.111607908,0.912146324,0.932657551,1.034211185,0.039935488,0.048530813
AHCY,0.112124693,0.911741305,0.932657551,1.024958965,0.04012837,0.035566151
ASPN,0.113994614,0.910275997,0.931977941,1.015210386,0.040826909,0.021778734
STXBP3,0.115106054,0.909405205,0.931703411,1.018507178,0.041242565,0.026456147
RPL24,0.12031393,0.9053265,0.928139768,1.037288665,0.043194767,0.052817434
PLEC,0.121479062,0.904414354,0.927819901,1.032630537,0.043632554,0.046324167
THBS2,-0.122539165,0.903584548,0.927584138,0.973810245,0.044031204,-0.038287416
TUBB3,0.122715755,0.903446331,0.927584138,1.047292725,0.044097641,0.06666474
ARPC1B,-0.123338961,0.902958575,0.927584138,0.980566792,0.044332174,-0.028312191
PSMA4,0.133185102,0.895257744,0.920870574,1.027054482,0.048051914,0.038512714
ALDH1A1,0.133965718,0.894647653,0.920855707,1.020947581,0.048347973,0.029908795
RAB11B,-0.139071414,0.890658948,0.917360915,0.983783651,0.050288565,-0.023587015
SPP2,-0.141341129,0.88888673,0.916145923,0.965405531,0.051153577,-0.050793003
SNX2,0.144688323,0.886274291,0.914062744,1.043532703,0.052431849,0.061475813
NUTF2,-0.151985599,0.880583487,0.909406861,0.967758331,0.055229463,-0.047281273
VPS4B,-0.155910985,0.877524968,0.906854011,0.947747336,0.056740518,-0.077425599
ATP6AP1,-0.156090307,0.877385293,0.906854011,0.963409837,0.05680965,-0.05377844
RPS13,0.15777575,0.876072692,0.906565182,1.06834512,0.057459857,0.095377773
CCT5,-0.160672213,0.873817817,0.904837472,0.940321365,0.058579104,-0.088774197
NRP1,0.16224725,0.872592122,0.904173874,1.063273028,0.059188712,0.0885121
FLNB,0.162354859,0.872508392,0.904173874,1.03793606,0.059230387,0.053717572
RPL13,0.163905954,0.87130167,0.904048579,1.04890334,0.059831453,0.068881735
TBXAS1,-0.165764505,0.869856175,0.9031549,0.955131276,0.060552549,-0.06622906
GNG10,0.167192814,0.868745618,0.902608015,1.038208076,0.061107373,0.054095615
SLC7A8,0.170935793,0.865836649,0.900190625,1.028684114,0.062564036,0.040800031
PI4K2A,0.171322595,0.865536144,0.900190625,1.043302166,0.062714792,0.061157059
CAP2,-0.171597283,0.865322752,0.900190625,0.930819665,0.062821877,-0.103426404
MPO,0.172767239,0.86441399,0.900190625,1.042706195,0.063278213,0.060332704
CLDND1,-0.177740953,0.860552818,0.897110355,0.947813287,0.065222469,-0.07732521
FUNDC2,-0.178310417,0.86011096,0.897110355,0.956835045,0.065445518,-0.063657865
INHBA,0.17846627,0.859990038,0.897110355,1.052275142,0.06550658,0.07351198
PYGL,-0.186844087,0.853495206,0.891556478,0.951361553,0.068798914,-0.071934372
FUCA1,0.188502745,0.852210588,0.890816476,1.040190867,0.069453074,0.056848276
OXSR1,0.190957026,0.850310536,0.889431724,1.055423279,0.07042244,0.077821709
PRKAR1A,-0.191158135,0.850154883,0.889431724,0.938465848,0.070501947,-0.09162385
KPNB1,-0.191247795,0.850085491,0.889431724,0.938545292,0.070537396,-0.091501728
NDUFS7,-0.19819805,0.844710149,0.885370773,0.960965482,0.073292288,-0.057443485
ACTR1A,-0.201512229,0.84214966,0.883285871,0.83250327,0.074610722,-0.264472157
LAMTOR3,0.201975079,0.841792209,0.883285871,1.05917659,0.074795098,0.082943141
RPL13A,-0.202654052,0.841267914,0.883285871,0.931733656,0.075065675,-0.102010489
RHOA,0.203507445,0.840609041,0.883285871,1.023836715,0.075405943,0.033985648
F7,-0.206958028,0.837946196,0.881268585,0.948528531,0.076783866,-0.076236926
ARF5,0.209024012,0.836352805,0.880191584,1.08229836,0.077610482,0.114098266
HK1,-0.21417324,0.832384601,0.87661212,0.940988574,0.079675963,-0.087750889
CAP1,-0.21498913,0.831756259,0.876547495,0.977339842,0.080003923,-0.033067789
GBA1,0.217566153,0.829772371,0.875053265,1.062679269,0.08104103,0.087706238
ARHGAP1,-0.219365765,0.828387651,0.874189289,0.962820701,0.081766384,-0.054660935
CPT1A,-0.219475879,0.828302941,0.874189289,0.954085721,0.081810797,-0.067809202
UBE2N,-0.221610481,0.826661241,0.873559999,0.925295848,0.082672424,-0.112013377
AP2A1,0.227371602,0.822234489,0.87007154,1.102108814,0.085004311,0.140266672
ILVBL,-0.232038256,0.818653131,0.867469322,0.954712518,0.086900073,-0.066861719
OPA1,-0.239023662,0.813299857,0.862979807,0.910936615,0.089749304,-0.134577423
ST13,-0.24097905,0.811803,0.861983131,0.937295072,0.090549348,-0.093424797
SRPX,0.244019824,0.80947674,0.860103807,1.091361109,0.091795626,0.126128539
CTSZ,-0.246401463,0.807655988,0.858759393,0.948661315,0.092773583,-0.076034978
HSP90AA1,-0.251946176,0.803421411,0.854844804,0.975837957,0.095056599,-0.035286494
SNX3,-0.25267451,0.802865627,0.854841776,0.943080356,0.095357135,-0.084547393
BPNT2,-0.254354114,0.801584346,0.854065747,0.9352683,0.096050773,-0.096547805
TPSB2,-0.256113002,0.800243194,0.853224813,0.914672025,0.096778011,-0.128673568
PSMA2,-0.266432854,0.792387128,0.846015539,0.94762505,0.101062588,-0.077611759
NCF1B,-0.268188754,0.791052651,0.845174428,0.948249825,0.10179461,-0.076660894
APEH,-0.269147367,0.790324385,0.84498029,0.944339984,0.102194618,-0.082621738
IPO5,-0.272175096,0.788025483,0.843105465,0.917637097,0.103459738,-0.124004379
PSMD3,0.272342085,0.787898749,0.843105465,1.073295892,0.103529589,0.102047861
XPNPEP1,0.272705861,0.787622686,0.843105465,1.085928165,0.103681784,0.118928671
PRKCA,-0.275448801,0.785542037,0.842196942,0.937356379,0.104830569,-0.093330435
DCD,0.280007952,0.782087338,0.839074965,1.032062898,0.106744745,0.045530897
CDH1,0.283126204,0.779727121,0.8371237,1.052644115,0.10805736,0.074017763
ARHGDIA,-0.284686375,0.778547034,0.836437605,0.901093992,0.108715146,-0.150250494
PLXNA1,-0.287359673,0.776526267,0.834846738,0.943723925,0.109843849,-0.083563216
PSMD13,-0.288941745,0.775331127,0.834141909,0.90796066,0.11051278,-0.139298305
DYNC1I2,-0.292038843,0.772993145,0.832205712,0.950908333,0.111824358,-0.072621822
HSPD1,0.292455052,0.772679118,0.832205712,1.104716085,0.112000825,0.14367564
DNM2,0.297313287,0.769016573,0.829079235,1.11905291,0.1140643,0.16227825
PSMA5,-0.300439004,0.766663051,0.827118686,0.935778681,0.115395467,-0.095760733
GRB2,0.300647685,0.766506005,0.827118686,1.077582837,0.115484438,0.107798778
YWHAQ,-0.300886396,0.766326373,0.827118686,0.92379314,0.115586228,-0.114358261
FRZB,-0.301560959,0.76581883,0.827118686,0.898570851,0.11587396,-0.154295832
IKBIP,-0.302216084,0.765326015,0.827118686,0.926052023,0.116153524,-0.110834852
UBA1,0.306025942,0.762462085,0.825466655,1.077920586,0.117781748,0.108250894
NPC2,0.306396519,0.762183701,0.825466655,1.056520777,0.117940343,0.079321139
TINAGL1,0.317260394,0.754037343,0.817490696,1.118882194,0.122607146,0.162058145
PEF1,-0.31960277,0.752284687,0.816162896,0.956645688,0.123617778,-0.063943401
GAL3ST4,-0.320891587,0.751320926,0.815689713,0.923751077,0.124174515,-0.114423953
RPL27,0.322456571,0.750151208,0.814992106,1.132303051,0.124851187,0.179260135
CAPN1,-0.322714027,0.749958836,0.814992106,0.93281638,0.124962574,-0.100334972
CALCRL,-0.324373418,0.748719334,0.814581344,0.92750753,0.125680952,-0.1085691
NPC1,-0.32863916,0.745536179,0.811689389,0.917885881,0.127531277,-0.123613298
ISYNA1,-0.3291183,0.745178926,0.811689389,0.941705482,0.127739435,-0.086652167
MSN,-0.337404157,0.739010235,0.805719199,0.961640451,0.131349547,-0.056430511
RAB35,-0.342137309,0.73549449,0.802451999,0.921479485,0.133420576,-0.117976047
RPL8,0.343664249,0.734361551,0.80178175,1.063304382,0.13409007,0.088554643
NDRG1,-0.344817064,0.733506609,0.801414288,0.890076746,0.134595969,-0.167998359
RPL7,-0.345140622,0.733266718,0.801414288,0.937334334,0.134738027,-0.093364365
ECM2,0.346403504,0.732330664,0.801262,1.067986919,0.135292781,0.094893977
FBLN2,0.355343543,0.725716515,0.794587629,1.065550426,0.139232994,0.091598868
SERPINA5,-0.358079232,0.723696893,0.792937914,0.887767018,0.140443292,-0.171746984
CRLF1,0.358856234,0.723123646,0.792871743,1.120138639,0.140787437,0.163677305
CAB39,0.367541162,0.716727559,0.78641647,1.125058498,0.144645896,0.170000017
SIDT2,-0.367765777,0.716562418,0.78641647,0.941610312,0.144745973,-0.086797975
GASK1B,-0.36818494,0.716254281,0.78641647,0.889363831,0.144932769,-0.169154361
PLOD2,-0.368874512,0.715747467,0.78641647,0.906896894,0.14524018,-0.140989557
DNAJC13,0.369059066,0.715611848,0.78641647,1.094428987,0.145322478,0.130178347
PSME1,0.371666928,0.713696498,0.785879478,1.041096901,0.146486434,0.058104355
PEA15,-0.377677127,0.709289655,0.781583612,0.907790136,0.149176374,-0.139569283
PSMC4,0.383685199,0.704894744,0.777294775,1.088685304,0.151875728,0.122586988
CCT6A,0.385882352,0.703290142,0.776078914,1.082864896,0.15286547,0.114853255
HSPA2,-0.38741403,0.702172377,0.775398925,0.885216576,0.15355626,-0.175897628
IGFBP3,-0.388572762,0.701327233,0.775019229,0.944263654,0.154079297,-0.082738355
BRK1,-0.389408057,0.700718238,0.77490014,0.895329896,0.154456579,-0.159508735
IGFBP5,-0.389609292,0.700571553,0.77490014,0.918172708,0.154547501,-0.123162545
SMOC2,-0.390546539,0.699888529,0.77490014,0.861896079,0.154971125,-0.214414164
ITM2C,-0.3923747,0.698556991,0.774171404,0.941195611,0.155798156,-0.087433502
GNG2,-0.392609553,0.698386009,0.774171404,0.829687728,0.15590447,-0.269359648
PI4KA,-0.406403081,0.688372723,0.763980064,0.88046938,0.162176347,-0.183655262
ILK,0.407650531,0.687469987,0.763526294,1.06165032,0.162746257,0.086308658
SLC30A1,-0.416243505,0.681264558,0.757178294,0.929237958,0.166684204,-0.105880007
NME1-NME2,-0.42119452,0.677699586,0.753757957,0.959409302,0.16896278,-0.059781667
GFPT1,-0.421784782,0.677275081,0.753757957,0.900655268,0.169234903,-0.150953084
GAA,-0.426187518,0.674112183,0.750848296,0.899721772,0.171267824,-0.152449161
ACTR2,0.427706644,0.673022276,0.750716045,1.078428789,0.171970561,0.108930916
LYN,0.43337239,0.668963842,0.74672787,1.122899516,0.174597356,0.167228833
NSF,0.435622925,0.667354616,0.745469824,1.100530892,0.175643331,0.138199642
UGDH,0.435782886,0.6672403,0.745469824,1.139522692,0.175717731,0.188429654
VAT1,0.440869887,0.66360918,0.74235875,1.05883345,0.178087615,0.082475677
MMP2,0.443113974,0.662010018,0.741106074,1.112288047,0.179135438,0.153530449
TMEM30A,-0.443822579,0.6615054,0.741077788,0.869047638,0.179466606,-0.202492833
RPL4,0.447821761,0.658660555,0.738425829,1.110462671,0.181338344,0.151160896
ARF4,0.448209659,0.6583849,0.738425829,1.188888943,0.181520138,0.249613956
STEAP3,-0.448750749,0.658000466,0.738425829,0.952299953,0.181773799,-0.070512034
CAPZB,-0.458109792,0.651366413,0.732372709,0.92365849,0.186174639,-0.114568561
KRT9,0.463271349,0.647720246,0.728803129,1.210833453,0.188612528,0.27600044
TCP1,-0.468276798,0.644192964,0.725362216,0.831936878,0.190984023,-0.265454024
CLTC,-0.470045358,0.642948721,0.724488865,0.899763191,0.191823663,-0.152382746
NME1,0.479433415,0.636361886,0.717589698,1.075854223,0.19629584,0.105482608
PSAP,-0.480989213,0.635273254,0.716885,0.93131457,0.197039429,-0.102659546
RAB5C,-0.484761895,0.632636912,0.714431458,0.953365494,0.198845472,-0.068898685
RNH1,-0.485404983,0.63218802,0.714431458,0.908953663,0.199153738,-0.137721345
TPT1,0.486404091,0.631490904,0.714180642,1.049971393,0.199632901,0.070350021
HSPE1,-0.489276164,0.629488901,0.712437659,0.862711021,0.201011923,-0.213050708
GRHPR,-0.492612231,0.627167119,0.710329938,0.864568516,0.202616719,-0.209947795
MIF,-0.494683289,0.625727719,0.709219248,0.942105266,0.203614606,-0.086039826
ETFDH,-0.497650182,0.623668364,0.707403735,0.872622975,0.205046285,-0.196569636
RDX,-0.501439055,0.621043032,0.704943118,0.863917363,0.206878307,-0.211034775
SEPTIN9,0.5023185,0.620434395,0.704769709,1.156116616,0.207304134,0.209286928
PSMA1,0.505827085,0.618008979,0.702530795,1.073085494,0.209005215,0.101765022
DBI,0.506269801,0.617703253,0.702530795,1.145992373,0.209220111,0.196597442
RPS21,-0.507696182,0.616718722,0.702096571,0.882804098,0.209912868,-0.179834768
FLOT1,-0.509935722,0.615174409,0.700854559,0.906418438,0.211001739,-0.141750887
PPT1,-0.515977722,0.611017148,0.696631645,0.886051052,0.213946601,-0.17453827
TOLLIP,-0.516350888,0.610760825,0.696631645,0.78802726,0.214128827,-0.343682557
PRKACA,0.518589127,0.609224474,0.695613764,1.246800054,0.215222658,0.318230122
APMAP,0.521630107,0.607140064,0.693746149,1.077122708,0.216711108,0.107182615
EFEMP2,0.523363508,0.605953448,0.692902389,1.122677447,0.217560739,0.166943491
DPYSL2,-0.534589269,0.59829575,0.684652279,0.940106379,0.223084082,-0.089104079
RAC1,0.538923543,0.595351723,0.681787973,1.058827747,0.225226385,0.082467906
PLXND1,0.544249276,0.591743962,0.678158758,1.192340049,0.227866165,0.253795743
RPS25,0.547594534,0.589483318,0.676069147,1.195373395,0.229528481,0.257461339
PLCD1,-0.555206007,0.584355599,0.670685788,0.90478363,0.233322791,-0.144355267
PPA1,-0.556263754,0.583644773,0.670367621,0.851983458,0.2338514,-0.231102675
CORO1C,-0.55731435,0.582939179,0.670054996,0.868466511,0.234376755,-0.203457877
STOM,-0.558660373,0.582035794,0.669514388,0.940415074,0.235050306,-0.08863043
NID1,-0.561915547,0.579853976,0.667501301,0.859388831,0.23668136,-0.218617067
IST1,-0.562936931,0.579170229,0.667211008,0.917363153,0.237193771,-0.124435134
PRDX3,0.563405347,0.578856791,0.667211008,1.20009472,0.237428867,0.263148278
HSP90AB1,0.567072539,0.576405862,0.665017509,1.06292996,0.239271611,0.088046536
KRT10,0.56979641,0.574588786,0.663416179,1.22008554,0.240642854,0.286982298
SCCPDH,-0.570147485,0.574354798,0.663416179,0.814385534,0.240819747,-0.29621616
STX4,-0.572021213,0.573106789,0.662694911,0.860905106,0.241764447,-0.216073871
LDHA,-0.572026956,0.573102965,0.662694911,0.954825245,0.241767344,-0.066691384
PPP2CB,0.57891444,0.568527384,0.658384521,1.1145799,0.245248612,0.156500041
EHD3,-0.579579744,0.568086392,0.658366988,0.757064358,0.245585614,-0.401512146
SLC1A5,-0.580105241,0.567738193,0.658366988,0.824680465,0.245851888,-0.278092861
RPL6,0.582438042,0.566193781,0.657158848,1.085141817,0.247034905,0.1178836
CORO1B,-0.587247565,0.563016494,0.653962059,0.899625028,0.249478882,-0.152604297
GSN,-0.590299676,0.561004977,0.65211556,0.946742118,0.251033286,-0.078956589
SEC11C,-0.607036834,0.550040779,0.639851801,0.781086295,0.259605112,-0.356446147
SERPINB1,0.609325286,0.54855047,0.638598664,1.193736536,0.260783409,0.255484462
BSG,-0.609648544,0.548340126,0.638598664,0.942329182,0.260949972,-0.085696973
GBE1,0.609951782,0.548142849,0.638598664,1.099928705,0.261106247,0.137410015
SNX6,0.612064407,0.54676948,0.637966502,1.211045129,0.262195735,0.276252627
RPL15,0.614474775,0.545204782,0.636621294,1.176626272,0.263440343,0.234656155
UQCRC2,0.617668917,0.543134964,0.63468379,1.208812867,0.265092239,0.273590922
PFKP,0.618466655,0.54261868,0.634560121,1.171941315,0.265505259,0.228900328
RAP2A,-0.620575916,0.541254859,0.633444369,0.881739541,0.266598192,-0.181575537
FKBP7,-0.621256212,0.540815379,0.633409528,0.86904332,0.266950967,-0.202500001
GLOD4,-0.624563442,0.538681587,0.63186778,0.801075127,0.268667869,-0.319990546
PODXL,-0.626195953,0.537629974,0.63111309,0.863911376,0.269516526,-0.211044773
DNASE1L1,-0.628547506,0.536117116,0.629815396,0.770388255,0.270740328,-0.376342386
SNX12,-0.628947806,0.535859814,0.629815396,0.856650238,0.270948811,-0.223221809
MELTF,-0.632673783,0.533468048,0.627657232,0.910745241,0.272891587,-0.134880543
PRDX1,-0.633073726,0.533211662,0.627657232,0.961779551,0.273100361,-0.056221843
PPIA,-0.636388905,0.531089008,0.625810676,0.936176303,0.274832687,-0.095147848
ERO1A,-0.637820394,0.530173869,0.625208849,0.855579935,0.275581682,-0.225025445
ANXA3,-0.64310721,0.526801487,0.621706182,0.851581372,0.278353008,-0.231783703
RPL3,0.643383417,0.52662562,0.621706182,1.289705748,0.278498016,0.367041945
UCHL1,-0.643898085,0.526298008,0.621706182,0.828992203,0.278768274,-0.270569563
PCMT1,-0.644040937,0.526207095,0.621706182,0.851705207,0.278843301,-0.231573924
PACSIN2,0.64755613,0.523972685,0.620261692,1.115391584,0.280691353,0.15755029
VCAM1,0.64860014,0.52331007,0.619952006,1.132614619,0.281240908,0.179657057
CS,0.651046643,0.521759119,0.618588649,1.162962359,0.282529952,0.217804402
NNMT,0.651311249,0.521591525,0.618588649,1.217129445,0.282669474,0.283482611
GPX8,0.657029194,0.517977182,0.615048174,1.204325103,0.285689372,0.268224895
RAP2C,0.658879397,0.516810631,0.614134693,1.150167108,0.286668561,0.201843485
APPL2,-0.660494588,0.515793446,0.613397437,0.795633967,0.28752418,-0.329823226
COL18A1,-0.662590687,0.514475062,0.612300574,0.870239155,0.288635672,-0.200516164
IGHV1-18,0.664647318,0.513183325,0.61123376,1.224865224,0.289727464,0.292623013
IGHV3-49,0.666082829,0.512282775,0.610631588,1.218926061,0.290490247,0.285610616
RPL14,0.668438595,0.510806826,0.609342094,1.245369377,0.291743308,0.316573709
CCT3,-0.669717049,0.510006837,0.608857583,0.796138638,0.292424002,-0.328908414
COL4A2,0.672578603,0.508218771,0.607191824,1.131749593,0.293949298,0.178554788
RPL10A,0.675977611,0.506099449,0.605127415,1.194601337,0.295764136,0.256529242
SCUBE3,-0.676314221,0.50588984,0.605127415,0.796459024,0.295944043,-0.328327954
HTRA1,-0.676560027,0.505736805,0.605127415,0.918273376,0.296075439,-0.123004377
PSMB4,0.678090171,0.504784752,0.60495909,1.18989221,0.296893772,0.250830889
PCOLCE2,0.678656849,0.504432423,0.60495909,1.102606299,0.297197007,0.140917748
GSTM5,-0.681155589,0.502880496,0.60361277,0.758133614,0.298535208,-0.399475962
ATP5PO,-0.681233726,0.50283201,0.60361277,0.771892246,0.298577083,-0.37352863
NCEH1,0.685996301,0.499881703,0.600946433,1.370095062,0.301132759,0.454275995
RPS8,-0.691413352,0.496537936,0.597391167,0.842632359,0.304047565,-0.247024775
FCN2,0.693686487,0.495138613,0.596171569,1.2483103,0.305273205,0.319976598
STX12,0.695326649,0.494130342,0.595421285,1.368586939,0.306158477,0.452687085
VCP,0.69570227,0.493899599,0.595421285,1.084794136,0.306361327,0.117421284
PSMA6,0.70161188,0.490277467,0.591700986,1.064075967,0.309558067,0.089601152
NDUFA4,-0.703196241,0.489308979,0.590993501,0.757344535,0.310416815,-0.400978327
RPL17,0.706033013,0.487577673,0.589362847,1.133705286,0.31195619,0.181045651
RPLP2,0.712410546,0.483698349,0.585589388,1.084606762,0.315425395,0.11717207
ERAP1,-0.713167476,0.483239116,0.585491907,0.807534612,0.315837919,-0.308403999
DUSP3,-0.714740748,0.482285414,0.584794706,0.845213053,0.316695873,-0.242613047
HFE,0.716718741,0.481087928,0.583800578,1.172647651,0.317775541,0.229769588
NRAS,-0.718167139,0.480212159,0.583195599,0.909362456,0.318566848,-0.137072653
CFL1,0.72050261,0.478801986,0.581940149,1.048281475,0.319844057,0.068026148
GGT5,0.721340549,0.478296623,0.581783304,1.140396309,0.320302686,0.189535275
RHOG,0.723899863,0.476755025,0.580364778,1.11483262,0.321704721,0.156827122
GMPPB,-0.73013153,0.473013585,0.576718457,0.895103275,0.325126386,-0.159873948
ATP6V0D1,-0.73020318,0.472970668,0.576718457,0.84131969,0.325165792,-0.249273986
TPI1,-0.731337484,0.472291541,0.576718457,0.931184589,0.325789832,-0.102860913
LAMA2,0.737571481,0.468569412,0.572654791,1.252324376,0.329226066,0.324608296
GNA13,-0.740590644,0.466773019,0.57091067,0.852388446,0.330894256,-0.230417058
UBC,-0.745341791,0.463954391,0.5679125,0.950512976,0.333524711,-0.073221773
KCTD12,-0.746132771,0.463486126,0.5679125,0.767647145,0.333963261,-0.381484777
ALDOA,0.747054988,0.462940524,0.5679125,1.043396118,0.334474801,0.061286971
PDLIM5,-0.750106131,0.461138138,0.566258587,0.869492779,0.336168959,-0.201754048
AP2M1,-0.753874423,0.458917912,0.563980201,0.836711831,0.338264991,-0.257197261
RALB,-0.756494593,0.457377926,0.562534824,0.852447364,0.339724799,-0.230317339
RHOC,0.759636769,0.455535233,0.560714546,1.209302521,0.341478027,0.274175197
TUBA1B,-0.760872642,0.454811695,0.560270024,0.92346854,0.342168376,-0.114865281
ITGA5,-0.764923659,0.4524449,0.557798896,0.915107444,0.344434303,-0.127986953
PTPRA,-0.767809342,0.450763494,0.556169483,0.772813396,0.346051263,-0.371807992
GP1BB,0.767961986,0.450674658,0.556169483,1.271453185,0.346136862,0.346478343
IQGAP1,0.770647762,0.449113324,0.555019344,1.131375883,0.34764406,0.178078324
MAPK1,0.773668631,0.447361116,0.553296228,1.282844258,0.349341767,0.359346032
FLNC,-0.778896669,0.444338512,0.54999787,0.832104696,0.352286043,-0.265163034
MVP,0.786431274,0.440004352,0.545069494,1.222412276,0.356543028,0.289730936
MRC1,0.786460249,0.439987735,0.545069494,1.25021544,0.35655943,0.322176725
CAND1,0.788214012,0.438982666,0.544676727,1.140202493,0.357552628,0.189290062
CHMP3,0.793979901,0.435688234,0.541023301,1.292847084,0.360824168,0.370551646
GSTM3,0.794919857,0.435152624,0.54079257,1.119392222,0.361358393,0.162715629
HLA-DRA,0.796081746,0.434491113,0.540404876,1.125611288,0.362019102,0.170708701
NNT,-0.802099629,0.431074838,0.53658752,0.86543807,0.365447326,-0.208497509
ABHD12,-0.802619861,0.430780293,0.53658752,0.758447919,0.365744173,-0.398877978
CTHRC1,0.807029386,0.428288726,0.533979331,1.222210025,0.368263357,0.28949222
CPNE2,-0.8127202,0.425086462,0.530414585,0.767442895,0.371522726,-0.38186869
ATP5F1C,0.815721756,0.423403503,0.52874137,1.395621135,0.373245553,0.480907351
ALOX5,0.824430487,0.418544209,0.523518889,1.389832482,0.378258663,0.474911004
KRT1,0.82626415,0.417525551,0.522667613,1.236782115,0.379316942,0.306591362
RAB7A,0.829046202,0.415983021,0.521158631,1.073027423,0.380924395,0.101686947
FKBP1A,0.832952027,0.413823486,0.518873568,1.216423944,0.383184865,0.28264612
CHST14,-0.83515925,0.412606253,0.517767263,0.88383493,0.384464194,-0.178151146
CLCC1,-0.835475605,0.412431977,0.517767263,0.608495006,0.38464767,-0.716682673
SNX9,-0.838898823,0.41054915,0.516023565,0.778064031,0.386634843,-0.362039208
RAD23B,0.841664704,0.409031864,0.514534794,1.238927125,0.388242859,0.30909133
KRT2,0.84659355,0.406336894,0.511560943,1.252602972,0.391113743,0.324929208
RPL38,0.847835307,0.405659723,0.511124639,1.180903687,0.39183811,0.239891306
IGLV8-61,0.849224294,0.404903118,0.510587456,1.229424118,0.392648878,0.297982693
HADHB,0.854124617,0.402241042,0.507644614,1.2228361,0.395513619,0.290231049
PDCD10,0.860509626,0.3987893,0.504111413,1.297022485,0.399256503,0.37520349
DDAH1,-0.860625303,0.398726941,0.504111413,0.769637279,0.399324419,-0.377749413
CKAP4,0.86690605,0.395350566,0.500583108,1.277764391,0.403017635,0.35362184
TUBB4B,-0.868355205,0.394574167,0.500009559,0.892283358,0.403871352,-0.164426163
MYH9,0.868821033,0.394324804,0.500009559,1.06676579,0.404145904,0.093243465
FGB,0.869600786,0.393907623,0.499984552,1.14814463,0.404605615,0.199304387
NHERF2,-0.874047244,0.391534153,0.49738028,0.792679016,0.407230349,-0.335191309
CHMP6,-0.877936409,0.389465786,0.495159626,0.781886107,0.409530688,-0.354969621
PSMB1,-0.884948895,0.385754348,0.490844627,0.81224353,0.41368917,-0.300015748
HSPA4,0.885462336,0.385483514,0.490844627,1.352836148,0.413994191,0.435987115
FAP,-0.885487325,0.385470336,0.490844627,0.895962035,0.414009038,-0.158490494
ADAM10,0.885556035,0.385434102,0.490844627,1.205549012,0.414049863,0.269690305
FABP3,-0.885802374,0.385304216,0.490844627,0.848741027,0.414196239,-0.236603677
LMAN2,0.8867943,0.384781498,0.490844627,1.255025086,0.414785819,0.327716202
HLA-DRB5,0.887633244,0.384339759,0.490844627,1.161818609,0.415284687,0.216384843
DCTN1,-0.895023857,0.380462638,0.486916589,0.843612372,0.419687985,-0.245347843
OMD,0.89685847,0.379504193,0.486092364,1.217881671,0.420783421,0.284373969
