T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,
RPL4,0.445183276,0.66411164,0.748335711,1.097154385,0.177758908,0.133766547,,,
CTSZ,0.441019259,0.667039844,0.750187978,1.071636924,0.175848224,0.099816196,,,
FCER1G,0.440775878,0.667211171,0.750187978,1.089217724,0.175736691,0.123292364,,,
RPL8,0.437191517,0.669736637,0.752480262,1.110667136,0.174095943,0.151426509,,,
CORO1C,0.422550741,0.680095797,0.761904421,1.087138823,0.167429909,0.120536178,,,
RPLP2,0.419508715,0.682256872,0.763771994,1.053270288,0.166052082,0.074875705,,,
PODXL,0.415157535,0.685353096,0.765671414,1.10258383,0.164085621,0.140888348,,,
FGB,0.413081314,0.686832608,0.7666738,1.08124994,0.163149094,0.112700053,,,
KPNB1,0.412257772,0.68741984,0.766775665,1.126198815,0.162777938,0.171461537,,,
DBI,0.408793749,0.689892209,0.768978626,1.093803929,0.16121876,0.129354149,,,
SSBP1,0.402199971,0.694608693,0.772564777,1.150618293,0.158259786,0.202409312,,,
PSMD13,0.397063981,0.698291717,0.775545255,1.167773096,0.155963109,0.223759979,,,
APEH,0.3836577,0.707943047,0.785136263,1.078399957,0.150001679,0.108892344,,,
DNAJC13,0.376470159,0.713139471,0.787671761,1.127490609,0.146825525,0.173115417,,,
MIF,0.375867704,0.71357572,0.787671761,1.042663881,0.146559936,0.060274158,,,
LYN,0.373787376,0.715082937,0.787671761,1.109178711,0.145643585,0.149491832,,,
HLA-DRA,0.372838676,0.715770696,0.787671761,1.080777317,0.145226086,0.112069301,,,
ACSL1,0.371458117,0.716771996,0.787736893,1.094416304,0.144618971,0.130161628,,,
AHCY,0.3561207,0.727932629,0.795939485,1.048487221,0.137908813,0.068309277,,,
PLSCR1,0.356054596,0.727980874,0.795939485,1.034538757,0.137880031,0.048987694,,,
CHMP6,0.354086671,0.729417712,0.796946843,1.127941579,0.137023695,0.173692346,,,
NCF1B,0.346165775,0.735211788,0.802143559,1.066597179,0.133587539,0.093015417,,,
PICALM,0.344826491,0.736193159,0.802647831,1.160048077,0.133008222,0.214184597,,,
STXBP3,0.341706994,0.738480881,0.803442253,1.065797946,0.131660744,0.091933958,,,
GP1BB,0.338719719,0.740674089,0.804695813,1.137768486,0.130372848,0.186207026,,,
CTSF,0.323499949,0.751884807,0.816301904,1.090582153,0.123848691,0.125098452,,,
RPL14,0.319831713,0.754595771,0.81816313,1.096839021,0.122285633,0.133351803,,,
GALNT2,0.313182904,0.759518179,0.821365609,1.070717539,0.119461827,0.098577939,,,
FLNC,0.309537843,0.762221473,0.822901115,1.098218765,0.117918821,0.135165468,,,
CPM,0.30803376,0.763337907,0.823531335,1.131838683,0.11728317,0.17866835,,,
LAMP2,0.30153313,0.768169486,0.828165987,1.065920635,0.114542948,0.092100024,,,
FBLN7,0.290802975,0.776166857,0.83504103,1.103014937,0.110044906,0.141452327,,,
PSMA4,0.275400304,0.787693512,0.844577779,1.089748903,0.103642732,0.123995751,,,
RHOC,0.273179409,0.789359943,0.845118056,1.062534768,0.102724916,0.087510049,,,
VPS4B,0.268177626,0.793116967,0.847965996,1.094339271,0.100662759,0.130060077,,,
FAP,0.265802017,0.794903283,0.849288511,1.027768528,0.09968571,0.03951538,,,
MDH2,0.261997628,0.797766482,0.851225494,1.075731291,0.098124214,0.105317749,,,
CHMP3,0.256291696,0.802066544,0.853990962,1.107452286,0.095789599,0.147244543,,,
PLXNA1,0.240447348,0.814042168,0.864360709,1.033763934,0.089353098,0.047906775,,,
HSP90AA1,0.236035275,0.817385845,0.866162497,1.014402925,0.087572887,0.02063081,,,
NSF,0.215603561,0.832917909,0.878370455,1.073082457,0.0793978,0.101760939,,,
DUSP3,0.213747866,0.834332362,0.878390655,1.071145075,0.078660911,0.099153891,,,
SIDT2,0.212544164,0.835250176,0.878433178,1.042098977,0.078183424,0.059492309,,,
RPS21,0.211782903,0.835830763,0.878446199,1.062374447,0.077881649,0.087292351,,,
PRDX1,0.206473142,0.839883118,0.880908617,1.011923279,0.075781148,0.017099913,,,
PSMD3,0.200034815,0.84480321,0.885468314,1.075976236,0.073244445,0.105646215,,,
MLEC,0.190118462,0.852394486,0.891500389,1.031798602,0.069359368,0.045161396,,,
FMOD,0.189504695,0.852864861,0.891500389,1.049392118,0.069119779,0.06955386,,,
FABP3,0.185783163,0.855718199,0.893878605,1.040833455,0.067669232,0.057739239,,,
PFKP,0.182822659,0.857989574,0.895646104,1.038858564,0.06651799,0.054999251,,,
GGT5,0.170672616,0.86732509,0.902952585,1.037425495,0.06181809,0.053007729,,,
RAP2A,0.158379345,0.876791966,0.912194064,1.042450756,0.057103438,0.059979234,,,
NID1,0.157574436,0.877412527,0.912225801,1.055214945,0.056796169,0.077536903,,,
DDT,0.149659251,0.883519369,0.916265977,1.041352465,0.053783925,0.058458459,,,
SAMHD1,0.146817534,0.885713783,0.917155733,1.017932254,0.052706597,0.025641549,,,
PEF1,0.130484649,0.8983449,0.927749643,1.01212499,0.046556893,0.017387463,,,
ASAH1,0.124275669,0.903154486,0.931472206,1.020228541,0.044237956,0.028892366,,,
OPA1,0.119657738,0.906734234,0.93454075,1.072704835,0.042519987,0.101253159,,,
GLOD4,0.11448409,0.910747303,0.937710632,1.054609767,0.040602106,0.076709263,,,
HK1,0.101733982,0.92064799,0.944912585,1.034448311,0.035906391,0.048861559,,,
HSPE1,0.09606471,0.92505485,0.948266396,1.040657364,0.033832515,0.05749514,,,
CD151,0.084743183,0.93386297,0.954862534,1.019350922,0.029716845,0.0276508,,,
GRB2,0.082638715,0.935501287,0.955274101,1.02375683,0.028955611,0.033873077,,,
IGFBP3,0.077960494,0.939144348,0.957728998,1.015015136,0.027267651,0.021501241,,,
NCEH1,0.076186665,0.940526059,0.958505793,1.040959221,0.026629167,0.057913553,,,
RPS11,0.068551167,0.946475924,0.962665644,1.0131791,0.023890429,0.018889222,,,
NHERF2,0.065841852,0.948587953,0.963344865,1.027450711,0.022922395,0.039069187,,,
RDX,0.065296557,0.949013085,0.963344865,1.021850882,0.0227278,0.031184681,,,
GAA,0.062950774,0.950842125,0.963935689,1.012930098,0.021891586,0.018534617,,,
DPYSL2,0.059510436,0.953525131,0.965232022,1.007127359,0.020667856,0.010246135,,,
CS,0.056929746,0.955538119,0.966162153,1.016996964,0.019751983,0.024315372,,,
HLA-DRB5,0.050890287,0.96025024,0.970292072,1.010384653,0.017615576,0.014904631,,,
CCT8,0.033964809,0.973463639,0.9804396,1.009500484,0.011680266,0.013641602,,,
ATP6V0D1,0.021042122,0.983557894,0.987389937,1.003556822,0.007200072,0.005122306,,,
RPL10A,0.015707129,0.98772617,0.990288365,1.003822786,0.005363439,0.005504599,,,
PI4K2A,0.007330053,0.994271967,0.994915508,1.001217573,0.002494805,0.001755518,,,
DCTN1,0.003645309,0.99715137,0.99715137,1.000784087,0.00123891,0.001130756,,,
CDC42,-0.010526512,0.991774194,0.993058876,0.996198762,0.003587196,-0.005494477,,,
CCT4,-0.013792775,0.98922197,0.991145279,0.997338663,0.004706247,-0.003844616,,,
PSMB1,-0.017392589,0.986409258,0.989609808,0.996490325,0.00594286,-0.005072298,,,
VPS37C,-0.022780993,0.982199402,0.986666845,0.991907101,0.007800335,-0.011723086,,,
GRHPR,-0.024357206,0.980968036,0.986070601,0.99120399,0.008345143,-0.012746099,,,
EIF4A2,-0.02943936,0.976998135,0.982719009,0.993066014,0.010106265,-0.010038471,,,
SERINC1,-0.029455148,0.976985803,0.982719009,0.989535308,0.010111747,-0.015176909,,,
PANX1,-0.037277786,0.970876484,0.978471346,0.985068599,0.012836018,-0.021703899,,,
PPT1,-0.041880965,0.967282372,0.975485027,0.990013488,0.014446727,-0.014479914,,,
NUTF2,-0.04537285,0.964556443,0.973370927,0.994210299,0.015672354,-0.008377047,,,
PRKCA,-0.049138512,0.961617315,0.971038778,0.983790491,0.016997725,-0.023576984,,,
DDAH1,-0.058909461,0.953993874,0.965232022,0.978774531,0.020454414,-0.030951533,,,
RPL13A,-0.059599719,0.953455495,0.965232022,0.977313221,0.020699574,-0.033107087,,,
RPL15,-0.063932873,0.950076332,0.963791345,0.986416242,0.022241501,-0.01973154,,,
CTNND1,-0.065380195,0.948947877,0.963344865,0.991624828,0.022757642,-0.012133702,,,
ARPC5L,-0.074099511,0.942152091,0.958898705,0.977422276,0.025878984,-0.03294611,,,
TUBB2A,-0.074401757,0.941916604,0.958898705,0.971598555,0.025987547,-0.04156775,,,
HLA-DPA1,-0.080588501,0.937097663,0.956272598,0.971126251,0.028215145,-0.04226923,,,
CAP1,-0.0834818,0.934844912,0.955234788,0.992669,0.029260431,-0.010615355,,,
NPEPPS,-0.089806095,0.929922834,0.951463072,0.986338854,0.031553088,-0.019844729,,,
USP5,-0.094611152,0.926185161,0.948266396,0.967260796,0.033302182,-0.048023168,,,
AP2B1,-0.095022948,0.925864924,0.948266396,0.985024514,0.033452369,-0.021768466,,,
SCCPDH,-0.101183401,0.921075851,0.944912585,0.971390352,0.035704604,-0.041876938,,,
SGCE,-0.103055216,0.919621353,0.94467416,0.97073471,0.036390953,-0.042851016,,,
INHBA,-0.105980667,0.917348733,0.942966185,0.969372236,0.037465534,-0.044877332,,,
HTRA1,-0.106575122,0.916887027,0.942966185,0.985601871,0.037684172,-0.0209231,,,
ATP5PO,-0.114128943,0.911022878,0.937710632,0.942627693,0.040470717,-0.085240029,,,
ARPC1B,-0.13229979,0.896939646,0.926917575,0.983529182,0.047236779,-0.023960236,,,
ADH1B,-0.143482267,0.888290586,0.918593476,0.986748159,0.05144494,-0.019246172,,,
FLNB,-0.145271002,0.886908455,0.917778093,0.970183283,0.052121205,-0.043670774,,,
RAB5C,-0.147890122,0.884885398,0.916912081,0.987274469,0.053112971,-0.018476875,,,
CHST14,-0.149465191,0.883669193,0.916265977,0.981376871,0.053710285,-0.027120825,,,
HSPD1,-0.153469949,0.88057828,0.914287455,0.947158931,0.055232031,-0.078321569,,,
VCAM1,-0.156541617,0.878208925,0.912440187,0.977380414,0.056402154,-0.033007901,,,
RHOA,-0.172643959,0.865808942,0.901981553,0.977519165,0.062577933,-0.032803107,,,
SLC1A5,-0.173894876,0.864847159,0.901587126,0.95381557,0.063060637,-0.068217762,,,
CCT3,-0.17734542,0.86219534,0.899429147,0.929765234,0.064394329,-0.105061613,,,
PCMT1,-0.195722923,0.848102146,0.887722355,0.945407102,0.071551838,-0.080992393,,,
RPL7,-0.19666746,0.847379242,0.887566604,0.968399732,0.071922179,-0.046325415,,,
PSMA1,-0.208175947,0.838583026,0.88014213,0.980559843,0.076453933,-0.028322415,,,
COL18A1,-0.213342303,0.834641573,0.878390655,0.938422807,0.078499987,-0.091690019,,,
SDHB,-0.214085658,0.834074844,0.878390655,0.922504991,0.078794977,-0.116371378,,,
KIF5B,-0.218148113,0.830979387,0.876924322,0.922840276,0.080409749,-0.115847126,,,
ALDH1A1,-0.219243969,0.830144885,0.876642071,0.955799797,0.080846104,-0.065219633,,,
PSMB6,-0.219632148,0.829849336,0.876642071,0.904962039,0.081000749,-0.144070819,,,
SAR1A,-0.223795215,0.826681406,0.874178833,0.959432895,0.082661831,-0.059746191,,,
RAB35,-0.225206868,0.825607913,0.873641228,0.923576305,0.083226153,-0.114696935,,,
IGLV8-61,-0.229547057,0.822309729,0.870747151,0.943171685,0.084964571,-0.084407687,,,
SNX9,-0.235990435,0.817419847,0.866162497,0.911826142,0.087554822,-0.133169323,,,
RNH1,-0.237453238,0.816310833,0.866162497,0.9748449,0.08814444,-0.036755394,,,
SEPTIN9,-0.24361892,0.811640959,0.862403383,0.901702251,0.090636045,-0.149276972,,,
BGN,-0.253368576,0.80427208,0.855161373,0.961245581,0.094597007,-0.057023033,,,
NOTCH3,-0.253522325,0.80415603,0.855161373,0.921720643,0.094659677,-0.117598534,,,
ATP6V1D,-0.258926041,0.800080418,0.852463353,0.972286795,0.096866359,-0.040546168,,,
NNMT,-0.259452611,0.799683593,0.852463353,0.90961671,0.097081814,-0.136669338,,,
NDUFA4,-0.271729603,0.790448382,0.845697715,0.880925695,0.102126485,-0.18290776,,,
PYGL,-0.274529056,0.788347116,0.844618601,0.903415458,0.103282517,-0.146538496,,,
ITLN1,-0.275308046,0.787762715,0.844577779,0.888480148,0.103604578,-0.170588553,,,
GFPT1,-0.285462054,0.780157617,0.837585886,0.919348061,0.107817647,-0.121316932,,,
FRZB,-0.286730441,0.779209275,0.837149089,0.89290439,0.108345887,-0.163422391,,,
CYB5R1,-0.288416364,0.777949326,0.836376675,0.915743435,0.109048691,-0.126984641,,,
ALAD,-0.291031669,0.775996123,0.83504103,0.864460721,0.110140448,-0.210127681,,,
CAP2,-0.293023606,0.774509546,0.834419344,0.86271381,0.110973225,-0.213046044,,,
STX7,-0.310268122,0.761679611,0.822890761,0.916441119,0.11822767,-0.125885904,,,
S100A10,-0.312888193,0.759736624,0.821365609,0.959591507,0.119336938,-0.059507705,,,
APPL2,-0.314772739,0.758340143,0.821004105,0.889695277,0.120135954,-0.168616802,,,
PPA1,-0.317112426,0.756607634,0.819702454,0.906368174,0.121129281,-0.141830891,,,
UBC,-0.319748128,0.754657583,0.81816313,0.971369621,0.12225006,-0.041907728,,,
GSTM2,-0.339158138,0.74035206,0.804695813,0.932999599,0.130561711,-0.100051634,,,
PFKM,-0.343374613,0.737257585,0.803241879,0.878500702,0.132380751,-0.186884657,,,
PRDX3,-0.348067993,0.73381876,0.801189126,0.929905933,0.13441119,-0.104843311,,,
COLEC12,-0.356599783,0.727583009,0.795939485,0.871028725,0.138117452,-0.199207798,,,
TCP1,-0.35866367,0.726077581,0.79592277,0.833601976,0.139016973,-0.262569398,,,
MTHFD1,-0.361602474,0.723936037,0.794325844,0.867085448,0.140299804,-0.205753922,,,
CCT7,-0.371265273,0.716911907,0.787736893,0.842332358,0.144534206,-0.247538507,,,
COL14A1,-0.372751854,0.715833651,0.787671761,0.909152247,0.14518789,-0.137406185,,,
LDHA,-0.37360731,0.715213455,0.787671761,0.9694345,0.145564324,-0.044784669,,,
LEFTY2,-0.374353521,0.714672635,0.787671761,0.816723237,0.145892847,-0.29208082,,,
MMP14,-0.37485921,0.714306226,0.787671761,0.928562781,0.146115564,-0.106928639,,,
SPP2,-0.37628452,0.713273884,0.787671761,0.910213536,0.146743677,-0.135723054,,,
SLC1A4,-0.376358997,0.713219957,0.787671761,0.950356006,0.146776513,-0.073460042,,,
ERO1A,-0.378264525,0.711840765,0.787671761,0.908722834,0.147617145,-0.138087764,,,
GSTT1,-0.387907584,0.704877669,0.78229783,0.851081464,0.151886248,-0.232630864,,,
SMPDL3B,-0.397117874,0.698253029,0.775545255,0.829581317,0.155987171,-0.269544691,,,
GSTM5,-0.404252209,0.693139298,0.771485496,0.83347318,0.159179478,-0.262792319,,,
FKBP7,-0.407129304,0.691081501,0.76974928,0.902409239,0.160470732,-0.148146257,,,
CLTC,-0.415036439,0.685439351,0.765671414,0.909771931,0.164030966,-0.136423171,,,
HAPLN3,-0.417489185,0.683693187,0.764826098,0.794419719,0.165138748,-0.33202666,,,
ST13,-0.422647689,0.680026973,0.761904421,0.884020823,0.167473861,-0.177847743,,,
CFL1,-0.428360663,0.675976638,0.758388884,0.977500479,0.170068313,-0.032830685,,,
ACTR1A,-0.443284348,0.665446282,0.749293483,0.607351189,0.176886997,-0.719397128,,,
CD109,-0.451372095,0.659770252,0.743986003,0.951932245,0.18060727,-0.071069203,,,
AP2M1,-0.452153958,0.659222698,0.743911162,0.88903385,0.180967847,-0.169689745,,,
ENO1,-0.453654345,0.658172527,0.74326861,0.966585524,0.181660249,-0.049030706,,,
F7,-0.460944711,0.653080622,0.738695886,0.898578759,0.185033202,-0.154283136,,,
RAB34,-0.463129287,0.651558351,0.737955465,0.894120601,0.186046685,-0.161458656,,,
RSU1,-0.471797336,0.645534424,0.731668783,0.824621915,0.190080593,-0.278195292,,,
ANXA2,-0.473002449,0.644698984,0.731257982,0.92275732,0.190643014,-0.115976818,,,
COL8A2,-0.473403833,0.644420838,0.731257982,0.914171564,0.190830424,-0.129463151,,,
ATP6AP1,-0.480112972,0.639779978,0.726744927,0.894047804,0.193969356,-0.161576122,,,
PDLIM5,-0.484924297,0.636461634,0.725106622,0.925247725,0.196227771,-0.112088412,,,
GPX8,-0.490865283,0.632375512,0.722047668,0.821555621,0.199024956,-0.283569843,,,
ILVBL,-0.494619255,0.629800093,0.71963854,0.898290375,0.200797279,-0.15474622,,,
CD276,-0.496417398,0.628568269,0.718762237,0.687584521,0.201647546,-0.540391028,,,
ANXA13,-0.503141167,0.62397249,0.714564051,0.751507756,0.204834557,-0.412140101,,,
CALCRL,-0.505313776,0.622490997,0.713925134,0.856051344,0.205866925,-0.224230766,,,
IST1,-0.507137133,0.621248988,0.713029648,0.92959376,0.206734306,-0.105327711,,,
TMEM30A,-0.513426159,0.616974478,0.709704273,0.856926511,0.209732801,-0.222756609,,,
ARPC1A,-0.514980581,0.615920218,0.709019105,0.824219164,0.210475539,-0.278900087,,,
TPI1,-0.515250699,0.615737107,0.709019105,0.955053733,0.210604673,-0.066346191,,,
SYNGR1,-0.51732888,0.614329222,0.70824234,0.894992589,0.211598826,-0.160052359,,,
SLC30A1,-0.528859291,0.606547069,0.700314988,0.952721288,0.217135491,-0.069873869,,,
CAPZB,-0.537690979,0.600620179,0.69554966,0.958748686,0.221400081,-0.060775399,,,
RAB18,-0.546327794,0.594852787,0.690940954,0.9289966,0.225590499,-0.106254779,,,
TUBA1B,-0.548241987,0.593578425,0.689979131,0.950208037,0.226521893,-0.073684685,,,
HSPG2,-0.549630569,0.592654868,0.689943092,0.868519831,0.227198144,-0.203369305,,,
CPQ,-0.558148697,0.587005731,0.683881583,0.771724392,0.231357658,-0.373842388,,,
CCN3,-0.558764475,0.586598447,0.683881583,0.837861593,0.231659091,-0.255216151,,,
ABI3BP,-0.559719806,0.58596687,0.683701722,0.762052822,0.232126938,-0.392037094,,,
CHMP2A,-0.560025647,0.585764751,0.683701722,0.888120443,0.232276766,-0.171172753,,,
CASK,-0.569785891,0.579333838,0.678522813,0.832265241,0.237071105,-0.26488471,,,
PSAP,-0.581669742,0.571554519,0.67042738,0.927922962,0.242942337,-0.107923061,,,
APOC3,-0.581821393,0.57145561,0.67042738,0.880174481,0.243017499,-0.184138551,,,
BPNT2,-0.599852082,0.55976162,0.660604171,0.855595012,0.251996882,-0.225000024,,,
ITGA5,-0.60094723,0.559055589,0.660274974,0.930226411,0.252545007,-0.104346193,,,
TMEM192,-0.604745178,0.556610876,0.657890225,0.850519001,0.254448312,-0.233584628,,,
SEC11C,-0.604941734,0.556484515,0.657890225,0.692206875,0.254546916,-0.530724823,,,
KRT13,-0.608334462,0.554305898,0.656169157,0.793195462,0.2562505,-0.334251672,,,
GPC1,-0.612313383,0.551756877,0.655158319,0.757949917,0.258252245,-0.399825573,,,
TGM2,-0.613156685,0.551217468,0.655020911,0.959120931,0.258677029,-0.060215365,,,
STEAP3,-0.617479398,0.548457091,0.652744159,0.927233685,0.260857344,-0.108995117,,,
TUBB4B,-0.621837734,0.545681788,0.651447138,0.925639934,0.26306054,-0.111476988,,,
NDRG1,-0.632788404,0.538743465,0.644657428,0.850557462,0.268617985,-0.23351939,,,
DYNC1I2,-0.638737791,0.53499497,0.641661927,0.88305597,0.271650301,-0.179423213,,,
FUNDC2,-0.643194426,0.532196759,0.639297738,0.799742574,0.273927775,-0.322392404,,,
CNTN1,-0.645275486,0.530892984,0.638227491,0.685037583,0.274993014,-0.545744956,,,
DDAH2,-0.651469018,0.527023611,0.63505729,0.888852485,0.278169927,-0.169984087,,,
EHD2,-0.657232142,0.523437773,0.632558738,0.8849225,0.28113494,-0.176376984,,,
PPP1CB,-0.663872832,0.519323491,0.628227008,0.859545602,0.284562032,-0.218353912,,,
IKBIP,-0.672373146,0.514084672,0.622864344,0.849934156,0.288965345,-0.234577015,,,
COLGALT1,-0.682747406,0.507733172,0.617501748,0.776152196,0.294364461,-0.365588516,,,
TAGLN2,-0.685388861,0.50612343,0.616551979,0.936636717,0.295743557,-0.094438501,,,
BAG3,-0.689886573,0.503389445,0.616183755,0.555441751,0.298095895,-0.84829247,,,
HEBP2,-0.694323812,0.500700867,0.6133784,0.737332256,0.300421657,-0.439613223,,,
TSN,-0.695100173,0.500231345,0.613289183,0.732441384,0.300829098,-0.449214786,,,
BDH2,-0.696275011,0.499521337,0.612904751,0.846460889,0.301445956,-0.240484685,,,
PACSIN3,-0.697654623,0.498688345,0.612368691,0.930750331,0.302170781,-0.103533871,,,
SEPTIN11,-0.702577823,0.49572259,0.609695405,0.883333387,0.30476129,-0.178970054,,,
S100A4,-0.704390484,0.494633317,0.609325186,0.933590326,0.305716634,-0.099138483,,,
XPNPEP1,-0.704698422,0.494448413,0.609325186,0.719210553,0.305879012,-0.475513905,,,
RAB14,-0.706367208,0.493447103,0.608834175,0.940549248,0.306759396,-0.088424608,,,
ESD,-0.706624214,0.493293003,0.608834175,0.926082173,0.306895045,-0.110787883,,,
RALB,-0.71017072,0.491169496,0.607478432,0.893956785,0.308768613,-0.161723003,,,
RPS8,-0.711436963,0.490412664,0.607478432,0.801047195,0.309438323,-0.320040852,,,
SNX3,-0.723596525,0.483181049,0.599036008,0.851108724,0.315890108,-0.232584655,,,
ATP11C,-0.725040232,0.482326796,0.598456844,0.669853245,0.31665861,-0.578083038,,,
ALPL,-0.726725697,0.481330667,0.597700572,0.658961797,0.317556467,-0.601733267,,,
RAB22A,-0.735619719,0.476095178,0.592627331,0.766506469,0.322306217,-0.383630127,,,
ADAM10,-0.742219274,0.472233196,0.589243358,0.858388559,0.325843487,-0.220297247,,,
B2M,-0.750154231,0.467615633,0.584897872,0.901052567,0.330110978,-0.15031682,,,
IGFBP5,-0.750434308,0.467453167,0.584897872,0.8142041,0.330261894,-0.296537608,,,
SELENBP1,-0.756992769,0.463658851,0.582304292,0.852397778,0.333801445,-0.230401263,,,
CPNE2,-0.760990455,0.461355567,0.579882688,0.753835434,0.335964235,-0.407678485,,,
DYSF,-0.770005615,0.456187997,0.57478944,0.809101929,0.340856146,-0.305606633,,,
ANXA3,-0.776438718,0.452523037,0.570636718,0.810520412,0.344359306,-0.303079575,,,
S100A11,-0.779063874,0.451032886,0.570619347,0.916099908,0.345791791,-0.12642315,,,
CYC1,-0.779504946,0.450782823,0.570619347,0.766590283,0.346032641,-0.383472383,,,
CST3,-0.783675259,0.448422868,0.569883975,0.714161035,0.348312248,-0.485678673,,,
PIGS,-0.783988719,0.448245804,0.569883975,0.810059569,0.348483767,-0.303900093,,,
SLC17A5,-0.787919449,0.446029255,0.568475868,0.872809295,0.350636655,-0.196261629,,,
GMPPB,-0.790080238,0.444813787,0.567526052,0.866156676,0.35182176,-0.207300082,,,
PPIA,-0.790532801,0.444559486,0.567526052,0.942075997,0.352070118,-0.086084649,,,
NNT,-0.792613904,0.443391291,0.566983405,0.837234913,0.353212841,-0.256295621,,,
ALDH7A1,-0.79680223,0.44104625,0.565188341,0.757022243,0.355515866,-0.401592404,,,
LAMA4,-0.797726098,0.440530059,0.565188341,0.733785312,0.356024453,-0.446570069,,,
SURF4,-0.801949573,0.438175267,0.562640334,0.667336336,0.35835214,-0.583514035,,,
COX7A2,-0.805566695,0.436165054,0.560524666,0.770169927,0.360349134,-0.376751304,,,
CAMK2D,-0.807045848,0.435344746,0.559935922,0.863214265,0.361166692,-0.212209389,,,
SEPTIN2,-0.814599614,0.431171277,0.555955624,0.863623173,0.365350178,-0.211526141,,,
STOM,-0.827400155,0.42415898,0.548744588,0.92821491,0.372471334,-0.107469223,,,
TBXAS1,-0.832634305,0.42131344,0.546435049,0.855731097,0.375394686,-0.224770576,,,
GLT8D2,-0.846320675,0.413932788,0.537313258,0.820475114,0.383070172,-0.285468519,,,
ENO2,-0.863918913,0.404570288,0.527076829,0.905495793,0.393006015,-0.143220156,,,
RAB21,-0.864377833,0.404328063,0.527076829,0.748646303,0.393266115,-0.417643815,,,
ETFDH,-0.867927805,0.402457636,0.525506339,0.753884379,0.395279828,-0.407584816,,,
SEPTIN8,-0.879123414,0.396597269,0.519169668,0.692951749,0.401650281,-0.529173195,,,
CLCC1,-0.88560131,0.393233072,0.515201974,0.417339108,0.405349964,-1.260707974,,,
ABI1,-0.911212272,0.380124116,0.500999047,0.698702312,0.420074577,-0.51725018,,,
YWHAQ,-0.914731203,0.378346882,0.499508352,0.84311264,0.422109841,-0.246202707,,,
GNG2,-0.919023573,0.376186855,0.497081092,0.558544481,0.424596384,-0.840255916,,,
SCAMP1,-0.925858854,0.372764937,0.494249222,0.759658529,0.428564945,-0.39657703,,,
TOM1L2,-0.930496572,0.370455604,0.492454312,0.768480946,0.431263831,-0.379918605,,,
LAMC1,-0.933975302,0.36872998,0.49100478,0.769811358,0.43329155,-0.377423137,,,
IGHV1-18,-0.937225769,0.367122694,0.489285936,0.778090519,0.435188768,-0.361990094,,,
NAPA,-0.941262981,0.365133252,0.487054363,0.8557565,0.437548615,-0.22472775,,,
CLIC4,-0.970084042,0.35115197,0.470434095,0.930593529,0.45450489,-0.103776939,,,
TM9SF2,-0.970497007,0.350954455,0.470434095,0.708738494,0.454749241,-0.496674687,,,
ANXA1,-0.972761811,0.349872642,0.470350525,0.870689853,0.456090016,-0.199769184,,,
S100A16,-0.973512167,0.349514752,0.470278334,0.650400277,0.45653449,-0.620600224,,,
ERGIC2,-0.977249638,0.347736034,0.468292604,0.717009251,0.458750303,-0.479936361,,,
HPCAL1,-0.98283154,0.345091641,0.465542475,0.745474749,0.462065561,-0.42376861,,,
THY1,-0.998854182,0.33758155,0.456606366,0.883041906,0.471621297,-0.179446191,,,
SPCS2,-1.001739137,0.336242,0.455591702,0.632762359,0.47334804,-0.660264313,,,
RPL31,-1.011038672,0.33195031,0.450962372,0.747006236,0.478926921,-0.420807809,,,
AKR1B1,-1.012793709,0.331144869,0.450263823,0.911277164,0.47998197,-0.13403818,,,
ISYNA1,-1.022750392,0.326602443,0.445262237,0.77252515,0.485980571,-0.372346193,,,
SDHA,-1.023734199,0.326156103,0.445046192,0.782707951,0.486574491,-0.353453994,,,
PROCR,-1.027471842,0.324464464,0.443129029,0.747376769,0.488832861,-0.420092374,,,
MYO1B,-1.037488894,0.31996262,0.438141905,0.849701709,0.494900756,-0.234971628,,,
PLOD2,-1.040715567,0.318522353,0.436943707,0.753788329,0.496860084,-0.407768637,,,
TLN1,-1.042561527,0.317700543,0.43620341,0.851131405,0.497982043,-0.23254621,,,
EMILIN1,-1.048551781,0.315044526,0.433326368,0.747519422,0.501628062,-0.41981703,,,
RPL24,-1.050038629,0.314387831,0.43280818,0.708087648,0.502534273,-0.498000145,,,
PLSCR4,-1.050355211,0.314248137,0.43280818,0.631607996,0.502727288,-0.66289866,,,
SNTB2,-1.056068871,0.311734873,0.4299216,0.648607115,0.506214611,-0.624583244,,,
RPL23A,-1.058359709,0.310731414,0.429303634,0.665490103,0.507614838,-0.587510884,,,
SEPTIN7,-1.059672205,0.310157585,0.42889412,0.861621532,0.508417594,-0.214873791,,,
NPC1,-1.060257387,0.309901995,0.42889412,0.817374411,0.508775628,-0.290931016,,,
PTPRA,-1.062153338,0.30907498,0.428547012,0.668115309,0.50993615,-0.581830978,,,
LMOD1,-1.067466083,0.30676633,0.425727779,0.629848325,0.513192309,-0.666923642,,,
PRKAR2A,-1.088663148,0.297683547,0.414611499,0.605523315,0.526245168,-0.723745584,,,
ALOX5AP,-1.094446938,0.295240775,0.411580017,0.692028473,0.529823663,-0.531096697,,,
MFAP4,-1.097619865,0.293907147,0.410090659,0.852557597,0.531789852,-0.230130792,,,
GALNT1,-1.099210738,0.293240199,0.409529672,0.598736083,0.532776495,-0.740007877,,,
