T: GeneID,t-statistic,p-value,q-value,Fold change,neglog10p,log2FC,,,
EEF1A1,3.514269306,0.004268223,0.01969753,1.401594782,2.369752918,0.487069309,,,
AZGP1,3.502204668,0.004364111,0.019902407,2.78465441,2.360104192,1.477498293,,,
TNC,3.500398419,0.004378655,0.019910001,3.016244813,2.358659292,1.59275353,,,
EPB42,3.493522708,0.00443447,0.020045879,2.862931927,2.353158288,1.517493367,,,
HSPA7,3.467646629,0.004651099,0.020842316,2.664933356,2.332444418,1.414099455,,,
SERPINA6,3.441290134,0.004882833,0.021291089,2.920592729,2.311328131,1.546261191,,,
SERPINC1,3.440336381,0.004891435,0.021291089,1.787163735,2.310563677,0.837671816,,,
APOD,3.405003466,0.005221219,0.022236926,2.386188758,2.282228119,1.254708171,,,
MST1L,3.397303782,0.005296032,0.022493586,3.243202368,2.276049413,1.697419047,,,
RPS20,3.3928815,0.005339492,0.022520675,1.718130005,2.272500092,0.780839205,,,
TIMP3,3.390738888,0.005360678,0.022520675,3.745603884,2.270780276,1.905198336,,,
LYZ,3.380361495,0.005464505,0.022741275,1.608963631,2.262449192,0.686131716,,,
CFH,3.374602652,0.005523,0.022830371,2.566948327,2.257824918,1.360054255,,,
CLU,3.371221823,0.005557637,0.022851348,1.572250417,2.255109826,0.652831018,,,
TSG101,3.366632655,0.005605006,0.022984983,1.935057485,2.251423948,0.952376425,,,
CD53,3.354623147,0.005730913,0.023258265,2.420614102,2.241776201,1.275373101,,,
CAPG,3.354537256,0.005731824,0.023258265,3.979265973,2.24170719,1.992502332,,,
LDHC,3.344134414,0.00584322,0.023525048,1.995693857,2.233347748,0.996890426,,,
S100A9,3.332873433,0.005966281,0.023896037,3.548256466,2.224296311,1.827110291,,,
AKAP12,3.32664902,0.006035425,0.024023205,1.901477417,2.219292152,0.927120805,,,
CLIC1,3.324300474,0.006061724,0.024023205,2.081495968,2.217403831,1.057620764,,,
CP,3.320600688,0.00610339,0.024023205,1.591718173,2.214428852,0.670584917,,,
ACLY,3.318166948,0.006130957,0.024057002,2.616316366,2.212471755,1.387537003,,,
APOB,3.307354384,0.00625496,0.024402173,1.995686354,2.203775497,0.996885002,,,
HEG1,3.278874319,0.006593866,0.025298408,1.49799145,2.180859905,0.583029389,,,
RHD,3.274109025,0.006652359,0.025393943,2.79147955,2.177024332,1.481029987,,,
AGT,3.268685777,0.006719567,0.025587316,4.122038808,2.172658729,2.043358088,,,
IGHA1,3.260221391,0.006825836,0.025801326,2.326389528,2.165844149,1.21809268,,,
IGHG4,3.256929166,0.006867627,0.025866571,1.658056674,2.163193318,0.72949332,,,
LYPLA1,3.247373917,0.006990388,0.026082601,2.701934802,2.155498712,1.433992863,,,
JCHAIN,3.246519356,0.007001474,0.026082601,1.741437533,2.15481049,0.800278723,,,
ARPC4,3.229270136,0.007229087,0.026865788,1.782925397,2.140916574,0.834246337,,,
APOA4,3.220861767,0.007342732,0.027028247,1.56250598,2.134142314,0.643861711,,,
PLA2G7,3.208138685,0.007518131,0.027477612,5.716486146,2.123890134,2.515128613,,,
CCDC80,3.204883109,0.007563686,0.027514022,2.675657591,2.121266486,1.419893503,,,
RPS24,3.20279821,0.007593007,0.027555842,1.954141386,2.119586212,0.966534853,,,
C9,3.196472624,0.007682668,0.027750945,1.564573481,2.11448794,0.645769417,,,
C4B,3.179798721,0.007924156,0.028294157,3.16018972,2.101046981,1.660011172,,,
HNRNPK,3.168795454,0.00808769,0.028617077,2.879057294,2.092175528,1.525596499,,,
VSIG4,3.139501227,0.008539821,0.030074177,2.762418712,2.068551212,1.465932012,,,
APOC4,3.129964325,0.008692434,0.030513436,3.732151641,2.060858594,1.900007606,,,
IGKV2-30,3.129246793,0.008704027,0.030513436,4.829185943,2.060279792,2.271780014,,,
SERPING1,3.124767091,0.008776753,0.030574582,1.765863798,2.056666128,0.820374072,,,
RPS2,3.092474564,0.009319388,0.031946285,1.511948899,2.030612593,0.59640938,,,
GPX4,3.085963178,0.009432819,0.032201295,2.418593002,2.025358496,1.274168015,,,
TRIM47,3.085813787,0.009435438,0.032201295,2.739768956,2.025237949,1.454054236,,,
ITIH3,3.058114333,0.009933792,0.03368027,4.010697955,2.002884952,2.003853321,,,
GPLD1,3.031728091,0.010433029,0.034935522,5.778626686,1.981589579,2.530726671,,,
CPA3,3.009438971,0.010874263,0.036076418,4.98510981,1.963600161,2.317625284,,,
PLD3,2.989013939,0.011294958,0.037232421,1.850557951,1.947115375,0.887960315,,,
MYO1G,2.976952639,0.01155098,0.037754367,3.174537859,1.937381161,1.666546583,,,
APOC1,2.969927308,0.011702767,0.038123619,1.641281985,1.931711453,0.714823127,,,
RAB10,2.969444427,0.011713272,0.038123619,1.152907694,1.931321755,0.205277011,,,
IGHV2-70D,2.965612416,0.011796978,0.038214966,2.794308398,1.928229246,1.482491255,,,
APOC4-APOC2,2.964768407,0.011815494,0.038214966,3.379665636,1.927548121,1.756880522,,,
COPB1,2.962418118,0.011867209,0.038222301,2.217832439,1.925651423,1.149150372,,,
ARF6,2.949437092,0.012156931,0.038751785,1.430169654,1.915176044,0.516186297,,,
CTSH,2.933142419,0.012530611,0.039697387,3.029195165,1.902027744,1.598934531,,,
MPZL1,2.90681491,0.013158693,0.04126438,1.832703535,1.88078725,0.873973429,,,
CLEC3B,2.904780739,0.013208505,0.041336739,2.822731702,1.879146329,1.497092009,,,
KCNAB2,2.886571785,0.013662838,0.042330155,3.567746305,1.864459083,1.835013032,,,
GPX1,2.879759119,0.013836786,0.04261289,2.58909255,1.858964786,1.372446537,,,
IDH2,2.87476368,0.013965731,0.042733615,2.414629882,1.854936338,1.271802068,,,
FDPS,2.855541136,0.01447314,0.043959675,1.962771982,1.839437238,0.972892582,,,
STEAP4,2.853137704,0.014537856,0.044069657,2.347225865,1.837499646,1.230956674,,,
HBG1,2.842171739,0.014836791,0.044844564,4.02844459,1.828660018,2.010222912,,,
PPP2R1A,2.840451385,0.014884238,0.044844564,1.56554985,1.827273382,0.646669447,,,
TSPAN14,2.832615353,0.015102266,0.045073558,2.236941849,1.820957885,1.161527753,,,
ANPEP,2.820485366,0.015446024,0.045658802,1.722357835,1.811183288,0.784384906,,,
PSME2,2.800243885,0.016036993,0.047045904,2.910676086,1.794877059,1.541354299,,,
ATP5F1A,2.765917859,0.017090711,0.049649236,1.764072973,1.767239871,0.818910241,,,
ARF3,2.765085181,0.017117104,0.049649236,1.523998664,1.766569712,0.607861638,,,
ACTR2,2.761993403,0.017215455,0.049840999,1.269731243,1.76408149,0.344523162,,,
RAB27A,2.740061473,0.017929313,0.051810687,2.157991937,1.746436357,1.109689474,,,
COL6A2,2.736531265,0.018046913,0.052053222,2.391372255,1.743597079,1.257838726,,,
PTGES3,2.721752786,0.018547529,0.053298288,1.637479858,1.731713951,0.71147716,,,
SPTB,2.718430995,0.018661922,0.053527518,1.773791315,1.729043621,0.826836288,,,
EVI2B,2.708270431,0.019016155,0.054341914,2.377616266,1.720877294,1.249515891,,,
AFM,2.705870475,0.019100787,0.054483057,4.036206567,1.718948736,2.013000011,,,
A1BG,2.703152045,0.019197098,0.054556458,1.421834916,1.716764425,0.507753968,,,
DPP4,2.688882915,0.019710523,0.055606693,3.083767483,1.705301861,1.62469399,,,
AMBP,2.685769023,0.019824347,0.055825939,1.63953283,1.702801111,0.713284791,,,
CYBB,2.68403321,0.019888078,0.055903578,1.936059314,1.701407196,0.953123152,,,
TNFRSF11B,2.673131195,0.020292973,0.056938179,1.862311068,1.692654314,0.897094071,,,
POSTN,2.666987249,0.020524712,0.05738485,1.846371179,1.687722925,0.884692609,,,
HSPA9,2.661981863,0.020715425,0.057527152,1.51496532,1.683706152,0.599284768,,,
HPX,2.660730953,0.020763358,0.057527152,1.353425604,1.682702417,0.436615586,,,
IGKV2-40,2.648537463,0.021236326,0.058377094,2.137992059,1.672920618,1.096256495,,,
PPP1CA,2.647189245,0.021289266,0.058377094,2.587135779,1.671839318,1.371355772,,,
GPNMB,2.6431362,0.021449195,0.058484048,1.830208442,1.668589008,0.872007966,,,
SIRPA,2.638732659,0.021624289,0.058821062,2.277434246,1.665058166,1.187409401,,,
COL6A1,2.63811675,0.02164889,0.058821062,2.226072169,1.664564365,1.154500365,,,
ACO1,2.637049624,0.021691579,0.058833652,1.408056052,1.66370883,0.493704766,,,
RPS9,2.614567739,0.022610348,0.060686801,1.921068888,1.645692762,0.941909254,,,
FCGR3A,2.602937205,0.02310049,0.061696454,2.151905586,1.636378799,1.105614781,,,
MNDA,2.598897206,0.023273166,0.061933101,2.868362404,1.633144527,1.520227313,,,
PRDX5,2.598854735,0.023274988,0.061933101,1.393737336,1.633110528,0.478958696,,,
C2,2.588511132,0.023722894,0.062800674,1.895440794,1.624832337,0.922533393,,,
RPS26,2.586546208,0.023808927,0.062920685,2.228628922,1.623260182,1.156156421,,,
CTSB,2.581794641,0.024018232,0.063365507,1.856578572,1.619458957,0.892646372,,,
GAS6,2.580375862,0.024081077,0.063423075,1.494153735,1.618324095,0.579328597,,,
F11R,2.571399527,0.024482418,0.064105761,1.631614394,1.611145698,0.706300139,,,
KRT2,2.559060171,0.025044789,0.065183911,1.725850004,1.601282627,0.787307084,,,
ITGB2,2.557152418,0.025132852,0.065303175,1.472706025,1.599758225,0.558469474,,,
PRELP,2.552808967,0.025334476,0.065403835,1.464843219,1.596288072,0.550746262,,,
CD209,2.552672999,0.025340813,0.065403835,1.878035186,1.596179453,0.909224093,,,
RAB8A,2.54408798,0.025744076,0.06622353,1.492126396,1.589322688,0.57736975,,,
TIMP1,2.536221343,0.026119077,0.06652404,4.1879262,1.58304218,2.066236019,,,
CYBA,2.532806686,0.026283502,0.066722979,2.358054184,1.580316766,1.237596869,,,
RBP4,2.531844415,0.02633002,0.066731493,1.897413345,1.579548811,0.924033999,,,
AKR7A2,2.528543577,0.026490197,0.06702757,1.329958927,1.576914807,0.411381692,,,
EPB41,2.525492438,0.0266391,0.067294198,2.820564791,1.574480445,1.495984077,,,
AZU1,2.515375299,0.027138688,0.068221807,2.274895749,1.566411153,1.185800433,,,
RPS3,2.509588521,0.027428522,0.068838466,2.72286906,1.561797592,1.445127606,,,
PDCD6,2.482442398,0.028828754,0.072118534,1.577349623,1.540174124,0.657502472,,,
CBR1,2.480311812,0.028941541,0.072254444,1.563877075,1.538478352,0.645127118,,,
GLG1,2.470076678,0.029489345,0.07308135,1.770203821,1.530334869,0.823915482,,,
WASF2,2.469930173,0.029497259,0.07308135,1.909191268,1.530218338,0.932961643,,,
LMAN1,2.461552021,0.029953256,0.073974015,1.430946152,1.523555965,0.516969383,,,
MYO1E,2.458963897,0.030095494,0.074112175,2.201626276,1.521498527,1.138569593,,,
ITGAX,2.458789987,0.030105075,0.074112175,2.500363887,1.521360288,1.322138071,,,
EEF1G,2.450463581,0.030567267,0.075130357,2.040142371,1.51474339,1.028669834,,,
BCAT1,2.443849496,0.030939294,0.075924044,1.975591743,1.509489608,0.982284844,,,
PSMB8,2.428782485,0.031803188,0.07743931,2.034525743,1.497529345,1.024692535,,,
SULF1,2.428713098,0.03180722,0.07743931,1.551183461,1.497474292,0.633369327,,,
PCBP1,2.425736785,0.031980627,0.077589918,1.436816523,1.495113021,0.522875845,,,
COTL1,2.425598102,0.03198873,0.077589918,2.614152167,1.495003007,1.386343122,,,
GCA,2.425069283,0.032019643,0.077589918,1.42149372,1.494583516,0.507407725,,,
MZB1,2.42218421,0.032188804,0.077634776,1.798280404,1.492295153,0.846617997,,,
ENO3,2.414821352,0.032624432,0.078562884,2.167637032,1.486457044,1.116123199,,,
LPA,2.411567896,0.032818731,0.078680479,2.042946706,1.483878219,1.030651569,,,
VAC14,2.40796117,0.033035431,0.079060026,1.769391983,1.481020018,0.823253691,,,
ARL8A,2.396081715,0.033758972,0.080542238,2.421597372,1.471610791,1.275959015,,,
